DR,EMD,KLD,R,Knn,Replicate
PCA2,0.1965,0.0892,0.9399,0.986186,1
PCA33,0.1131,0.0119,0.979,0.995822,1
PCA500,0,0,1,1,1
t-SNE,0.1433,0.1149,0.5903,0.979271,1
FIt-SNE,0.1475,0.1524,0.6351,0.958233,1
UMAP,0.1795,0.2451,0.4453,0.968338,1
DCA,0.0402,0.0204,0.9436,0.981951,1
PCA2,0.2633,0.2584,0.9396,0.96812,3
PCA33,0.1729,0.0326,0.9816,0.975433,3
PCA500,0,0,1,1,3
t-SNE,0.262,0.1459,0.5699,0.951586,3
FIt-SNE,0.1283,0.1734,0.5219,0.954449,3
UMAP,0.2486,0.4833,0.4438,0.947963,3
DCA,0.015,0.0341,0.9745,0.966173,3
PCA2,0.2646,0.2206,0.933,0.970613,5
PCA33,0.1724,0.0297,0.98,0.977881,5
PCA500,0,0,1,1,5
t-SNE,0.1134,0.1275,0.5531,0.953706,5
FIt-SNE,0.1133,0.1342,0.5556,0.955688,5
UMAP,0.1607,0.2514,0.3818,0.948513,5
DCA,0.0165,0.0445,0.9677,0.964513,5
PCA2,0.2392,0.1493,0.926,0.977238,7
PCA33,0.1543,0.0193,0.9752,0.987137,7
PCA500,0,0,1,1,7
t-SNE,0.1306,0.1318,0.5507,0.965519,7
FIt-SNE,0.1276,0.1246,0.5849,0.965631,7
UMAP,0.1676,0.2366,0.3037,0.952338,7
DCA,0.0184,0.0313,0.9726,0.968293,7
