	Zg16	Muc2	Clca1	Lypd8	Sprr2a2	mt-Co2	Igkc	Plac8	Tff3	mt-Co1	S100a6	Mptx1	Fcgbp	Hbb-bs	Actb	Dmbt1	Muc3	Saa1	mt-Cytb	mt-Atp6	Krt8	Spink1	Reg4	mt-Nd1	Igha	Txn1	Muc13	mt-Nd4	Tspan1	mt-Nd2	mt-Co3	Tpt1	Krt20	Prdx6	Spink4	B2m	Ly6a	Ceacam1	Jchain	Agr2	Sval1	Hbb-bt	Ptma	Lgals3	Actg1	Hba-a2	Slc25a5	Car4	Ppia	Rps23	mt-Nd3	Tmsb4x	Rpl23	Eef1a1	H2-Aa	Reg3b	Rack1	Rpl27a	Scd2	Rps24	Ccl6	Rps21	Reg3g	Cox8a	Guca2a	Cox7c	Ly6e	Atp1b1	Plet1	Calr	1810065E05Rik	Rplp0	Dstn	Slc26a3	Calm1	Rpl41	Rps14	Rpl10a	Oit1	Itm2b	Tgm3	Hspa5	Lgals4	Aqp8	Hsd11b2	Aqp4	Crip1	Rps3a1	Rpl15	Cox6a1	Rpl30	Rps20	Rps7	Mgat4c	Rpl39	Gm10053	Gm29123	Slpi	Ifit1bl1	Rps27a	Cox5a	mt-Nd5	Eif2s2	Rps16	Tspan8	Rps3	Arf1	Rpl18a	Tm9sf2	Gpa33	Myl6	Chchd2	Rps9	Car1	Cox4i1	Rpl17	Tgoln1	Tmbim6	Gapdh	Rpl31	Gfpt1	Rpl7	Atp5g3	Rpl35a	Rps29	Slc25a3	Cox6b1	Slc26a2	Rpl13a	Atp5a1	Rps13	Wdr24	Hsp90ab1	Gzma	Rpl28	Actn4	H2-Eb1	Rps11	Gm20594	Atp1a1	Srsf1	Uqcrb	Tmem59	Rpl37a	Retnlb	Prdx1	Ezr	Mxd1	Cd9	Sectm1b	Serinc3	Rpl37	Gm8797	Rpl5	Ces2c	Cdh1	Clca3b	Gnas	Manf	Klf4	Smim14	Rps26	Rpl12	Rps25	Eef1b2	Maoa	Rfk	Rpl4	Ubc	Cdh17	Fos	Fth1	Spint2	Clec2h	Hmgb2	Rps19	Jun	Serf2	Gng5	Sycn	H3f3a	Cldn7	Rpl7a	Dynll1	Tmem86a	Pls1	Hk2	Hint1	Rps28	Nfatc2	Rps17	Cdkn1a	P4hb	Cd63	Rpl6	Sec61b	Ccnd2	Cox6c	Ldha	Tm9sf3	Krt19	Rpl10	Tubb5	Adh1	Hspa8	H3f3b	Tagln2	Gm11808	Pigr	Tmed2	Upp1	2200002D01Rik	Gm17541	Rps18	Pabpc1	Cs	Rep15	Id1	Rps8	Pdia6	Ybx1	Atp5g1	Mgst3	Xist	Vdac2	Hmgb1	Fabp6	Rplp1	Slc10a7	Myl12b	Rpn1	Prr13	Klk1	Rps4x	Slc44a4	S100a10	Atp5l	Rps6	Tpd52	Txndc5	Cystm1	Ccl5	Pfn1	Snrpf	Calm2	Rpl14	Clca4b	Hdgf	Cd74	Rps15a	Ceacam10	H2-Ab1	Tm4sf20	Hsp90b1	Cdhr5	Gm9844	Cmpk1	Rpl13	Aldh2	Ctnnd1	Prss32	Clic1	Tmed10	Rpl19	Aco2	Serp1	Set	Actr3	Cd177	Ggh	Bcas1	Slc12a2	Ywhaz	Ckmt1	Iqgap2	Fut2	Ahnak	Rnf31	Tmprss2	Ms4a8a	Spcs2	Duox2	Rrbp1	Cd164	Pcbp2	Rpl22	Gsdmc4	Cox7a2	Anxa2	Btf3	Chp1	Rpsa	Cox5b	Dmxl1	Car2	Sri	Mdh1	Pdlim1	Atp5c1	Ctsb	Wbp5	Sec61g	Hmgcs1	Dbi	Ptp4a1	Cd24a	Eef1g	Cox7b	Uqcr10	Fxyd3	Uqcrq	Atp5b	Gprc5a	Slc13a2	Ywhab	Slc6a8	Myh14	Mboat1	Lars2	Serpinb1a	Rac1	Galnt7	Gmds	S100a11	Emp1	Dsg2	Rbm47	Serpinb6a	Ucp2	Arf4	Tuba1b	Nov	Rps5	St6galnac6	Gpx2	S100a16	Gcnt3	Cd38	Atp5j	Gnb1	Ndufa4	Atp5g2	2210407C18Rik	Arpc2	Rpl36a	Ndufb8	Ctnnb1	Ywhae	Lrrc58	Sppl2a	Uqcrh	Tapbp	Sec61a1	Glul	Apol10a	Rpl26	Rnf128	Atp5f1	Smpdl3a	Golm1	Qsox1	Mcl1	Pkn2	Pmp22	Creb3l1	Gsn	Tkt	Sqrdl	Parm1	Ostc	Sypl	Rps10	Hepacam2	Capzb	Eif4g2	Hnrnpab	Lama4	Eif1	Hnrnpf	Id3	Rpl8	Pcbp1	Ces2e	Rab1a	Rpl38	Krt18	Klf6	Atp5j2	2010107E04Rik	Zfp644	Ybx3	Mrfap1	B3gnt7	Slc5a8	Hoxb13	Shisa5	Tram1	Npm1	Cldn3	Arl1	Suclg1	St3gal4	Lasp1	Prdx5	Uba1	Pold4	Npc2	Gda	Oaz1	Ethe1	Ndufa2	Ywhaq	Slc6a14	Aes	Tax1bp1	Eef2	Pdia3	Cib1	Lurap1l	Ddost	Ndufa6	Cdc42	Nans	Cpd	Dlk1	Atp6ap2	Arf6	Rab2a	Serbp1	S100a14	Usmg5	Elf3	Hnrnpa2b1	Eif5a	Gna11	Stard10	Hnrnpa3	Deptor	Arpc3	Zfp36	Hsp90aa1	Clcn2	Ctss	Atp12a	Gm4262	Gabarap	Slc35c1	Uqcrc2	Msmo1	Ido1	Slc4a7	Rpl34	Psap	Rpl32	Chmp4b	Gsto1	Cyp4f14	Slc39a4	Txnip	Naca	Eif3c	Suclg2	Ahcyl2	Hnf4a	Rhoc	Ddx5	Rplp2	Aph1a	Tomm7	Tmem45b	Cycs	Sult1b1	Clic5	Atp5k	Ptms	Mgat4b	Cttn	Arpc1b	Atp5o	Arpc5	Higd2a	Fuca1	Misp	Rpl21	Chek1	Nudt4	Lamp1	Lima1	Scin	Rpl3	Pla2g10	Efhd2	Capns1	Il13ra1	Pkm	Psma3	Ildr1	Csnk1a1	C1galt1	Gm1123
tmouse_   1	1377	422	653	97	207	95	0	49	175	86	194	1	216	0	107	0	0	46	54	64	123	163	3	48	0	129	78	44	60	26	27	34	62	10	28	44	39	80	0	33	45	0	7	58	45	1	23	0	18	14	17	49	8	11	7	0	8	3	5	12	18	8	0	27	1	20	27	12	5	33	1	7	50	0	27	29	6	6	8	20	0	19	21	0	20	0	30	6	7	7	5	10	5	1	17	7	10	9	0	4	8	15	21	12	12	3	21	7	24	5	30	10	1	0	7	3	16	25	12	6	10	0	0	6	16	8	13	4	6	5	5	1	2	0	3	16	2	3	9	8	21	1	35	2	0	8	34	36	14	0	13	4	4	1	1	19	0	13	16	19	11	3	1	5	3	3	7	5	6	19	13	11	8	0	0	3	0	17	17	5	6	12	3	15	1	5	1	3	5	4	4	17	17	19	4	14	5	5	4	15	22	3	1	1	6	13	27	9	12	7	0	2	6	2	8	7	3	22	2	13	4	2	3	6	16	2	0	6	13	9	5	6	5	3	7	33	8	0	11	3	9	0	1	1	2	1	0	0	1	1	2	1	0	8	4	17	5	3	10	12	7	15	8	11	4	7	2	11	7	0	10	0	10	5	5	9	9	1	6	4	5	3	3	14	5	5	0	14	17	2	4	1	4	0	2	7	2	18	3	5	3	7	14	4	5	3	3	4	4	5	2	8	15	0	10	7	3	9	2	4	8	14	5	7	0	14	7	10	23	9	1	0	0	3	0	11	8	6	3	3	1	0	3	13	2	1	7	9	7	12	4	12	9	8	0	3	2	1	3	1	7	11	1	2	0	13	5	3	7	2	0	1	6	9	2	1	8	6	0	6	3	2	0	4	3	9	7	6	7	9	3	2	3	0	7	6	12	0	6	0	3	2	7	4	4	0	4	1	4	1	7	5	0	3	7	2	12	6	3	7	3	8	2	10	1	0	3	4	1	15	3	8	2	3	1	9	2	0	7	1	1	0	0	2	1	11	4	3	5	8	8	0	6	0	5	1	0	1	2	2	3	7	1	5	7	4	2	2	3	5	1	2	3	3	0	2	11	1	3	5	2	4	9	2	4	2	10	3	20	0	4	4	7	12	5	1	1	3	5	5
tmouse_   2	9	3	2	237	179	113	2	136	1	105	86	1	0	0	180	30	102	0	67	63	143	3	0	90	0	93	50	53	55	89	36	82	63	58	2	98	69	19	0	2	2	0	6	56	113	0	67	1	52	44	12	52	43	32	34	26	30	13	36	24	0	41	19	38	9	38	26	44	29	41	26	16	68	21	38	22	25	19	5	25	0	45	17	0	2	47	1	21	17	17	31	26	14	52	22	40	28	0	10	23	48	23	22	18	32	14	51	11	19	16	18	39	21	68	21	15	32	22	19	28	27	20	48	14	17	41	16	14	15	29	25	19	17	0	14	25	11	23	4	23	15	25	5	22	0	17	16	14	9	3	3	20	19	8	2	17	17	11	11	19	8	12	13	17	20	24	15	15	12	14	18	16	11	24	1	22	6	11	19	1	20	13	27	17	3	13	9	22	9	11	10	19	13	9	9	17	18	20	26	9	24	3	0	1	16	18	10	19	16	4	15	9	9	8	5	19	0	28	11	3	18	19	10	4	35	2	0	17	14	17	6	16	0	15	5	22	22	8	6	0	19	0	15	5	21	12	2	3	8	20	3	14	11	12	1	15	22	20	12	19	16	25	15	18	17	12	2	17	5	19	1	1	17	5	8	5	17	13	6	10	2	2	4	6	16	9	7	13	23	10	6	11	15	8	15	25	17	9	19	17	1	10	5	12	16	0	13	8	7	4	18	23	8	11	25	14	6	17	2	12	13	2	16	12	1	11	5	18	14	8	2	0	6	6	2	16	1	7	15	13	14	7	0	19	6	9	14	7	7	6	10	6	10	16	15	8	4	12	1	10	1	19	0	2	0	7	12	8	7	2	2	8	1	17	17	6	0	8	12	1	7	6	4	6	2	6	16	7	5	0	4	6	1	14	7	9	3	1	8	17	15	15	17	7	8	0	12	5	10	11	5	7	8	8	8	5	13	21	11	5	8	9	3	5	0	3	18	3	1	8	11	1	4	6	10	3	9	3	9	4	3	3	8	0	16	12	12	11	3	1	6	6	11	5	9	12	5	2	8	5	13	5	18	13	3	12	10	8	9	11	10	8	4	10	4	5	10	11	9	18	7	8	4	5	5	3	8	9	0	8	5	6	5	3	14	13	13	11	4	0
tmouse_   3	18	10	5	327	405	93	0	175	4	57	124	4	2	0	213	80	93	43	46	59	159	2	1	52	0	124	53	33	93	35	39	51	110	104	1	94	45	34	0	3	1	0	0	95	98	0	58	27	14	9	23	94	6	28	26	0	9	9	16	17	0	12	0	26	48	37	9	41	14	2	55	24	30	24	59	12	17	6	13	25	2	5	37	80	4	5	18	3	7	23	2	20	6	33	19	35	4	0	34	3	33	18	28	13	26	2	14	14	7	15	32	49	4	66	25	7	19	25	33	7	12	7	45	1	14	24	25	16	16	20	6	3	2	0	6	28	13	5	10	11	19	28	17	10	0	11	14	32	18	17	6	7	11	1	20	13	2	8	1	22	1	2	1	5	3	27	16	4	28	18	14	24	14	18	1	12	8	24	16	13	12	17	13	8	6	21	8	20	12	5	3	23	6	15	6	6	0	10	14	2	21	9	0	1	11	16	27	8	7	1	10	18	7	4	5	23	0	7	2	0	8	17	29	1	27	1	0	8	19	17	3	24	0	1	24	19	20	0	6	0	21	0	8	0	16	4	0	3	20	2	1	4	9	2	25	4	16	2	7	10	12	14	2	6	19	2	1	20	0	7	0	0	10	5	14	5	5	3	3	9	0	9	9	4	4	2	11	10	15	8	16	6	10	4	16	20	16	6	10	9	0	5	3	14	19	0	4	10	6	0	10	15	7	7	12	10	9	12	5	15	8	2	8	8	30	12	7	16	6	5	0	0	1	12	0	12	3	8	10	7	8	3	0	13	3	13	12	5	29	11	8	11	2	7	18	5	9	16	6	2	0	9	2	8	0	6	13	5	4	0	0	3	0	12	2	4	0	7	7	10	1	3	6	7	2	5	9	12	11	0	1	3	3	8	5	5	1	1	16	12	7	8	6	10	4	0	3	6	5	10	7	1	9	8	9	5	5	5	10	1	9	13	3	7	0	0	11	4	4	6	7	6	6	1	18	2	2	6	7	1	0	5	2	0	5	9	6	12	7	0	5	2	6	1	7	10	5	10	7	1	2	4	20	7	14	13	7	11	5	5	6	11	4	13	0	1	6	6	4	4	11	4	5	1	2	8	4	8	0	1	7	6	1	1	12	4	19	1	3	1
tmouse_   4	9	4	1	3	1	101	0	18	3	89	10	1	0	0	54	58	1	0	105	112	30	0	1	70	0	26	20	64	11	103	41	72	0	5	1	34	8	21	0	0	0	0	125	0	42	0	21	0	46	62	19	29	51	74	33	0	42	62	18	43	0	47	0	23	0	15	18	16	3	26	0	51	7	1	10	21	29	39	3	6	1	21	2	0	0	3	8	46	38	14	34	35	27	0	32	7	4	1	0	20	13	17	5	29	7	22	10	51	7	10	11	25	36	1	11	21	8	12	24	38	4	25	24	27	23	12	9	1	29	18	26	32	21	0	36	4	39	21	7	3	4	15	4	20	0	23	1	0	2	2	14	19	15	23	0	16	14	5	10	0	3	25	41	24	29	3	6	18	5	0	0	4	11	1	22	24	1	17	2	1	21	4	13	12	3	1	5	9	14	22	16	0	10	2	25	13	7	10	0	12	0	12	34	14	16	12	13	15	8	7	1	0	14	23	19	7	0	1	14	10	24	10	1	26	5	33	0	14	8	3	16	2	0	16	0	2	7	10	5	2	7	0	2	29	23	17	0	38	15	16	6	8	8	6	0	0	2	14	1	2	2	5	11	21	10	8	25	10	5	0	0	33	5	0	1	0	1	12	4	2	6	4	2	3	14	15	0	9	3	9	0	12	4	16	0	10	11	3	3	12	9	7	0	18	2	8	17	5	13	3	7	8	1	0	12	1	1	1	1	0	9	1	6	9	0	2	7	3	9	7	9	0	17	2	3	1	0	3	6	1	8	11	0	11	16	6	7	16	3	4	9	8	3	5	0	10	0	9	0	4	0	4	3	0	3	0	4	1	0	4	9	11	0	5	12	12	1	8	18	1	18	17	0	5	9	0	0	3	4	1	12	13	0	2	0	1	6	16	4	2	7	0	4	3	4	0	7	1	23	1	9	4	0	1	5	6	3	5	4	5	2	4	4	4	0	3	4	7	19	0	5	0	7	26	1	12	11	9	4	0	5	0	2	0	12	0	3	6	1	0	1	13	3	10	6	6	0	0	2	13	8	4	0	3	0	3	11	1	3	1	3	0	0	4	22	3	3	4	3	5	1	4	3	10	5	0	4	6	0	13	1	6	2	1	2	5	2	5	1	0
tmouse_   5	10	54	1	297	255	174	0	118	2	112	124	1	2	0	88	141	120	85	105	82	80	5	90	107	0	51	100	69	88	46	55	57	39	54	44	66	76	19	0	46	5	0	8	45	71	0	35	36	29	20	35	30	17	22	47	0	19	20	32	28	27	15	0	36	45	23	15	28	36	14	9	23	30	11	27	22	25	15	22	44	26	9	22	8	17	34	30	15	12	16	21	11	11	11	28	25	37	5	12	9	18	24	12	20	13	19	30	18	10	23	19	20	14	1	21	6	23	27	14	14	20	11	14	11	13	21	24	31	12	32	11	12	15	0	11	18	10	25	7	34	17	9	14	15	0	15	15	10	19	9	5	16	24	10	6	16	13	15	10	15	9	9	8	14	10	12	10	9	19	20	5	19	26	5	0	9	8	13	9	1	12	17	17	14	4	12	5	21	19	8	11	5	12	12	5	8	11	13	18	6	25	9	3	7	16	13	15	15	19	14	2	12	14	7	7	11	1	3	4	6	7	7	9	4	13	4	0	10	6	14	5	11	7	6	11	12	13	5	4	5	6	0	9	2	6	5	12	7	17	13	4	13	7	9	13	12	10	10	18	10	15	11	6	3	16	5	1	9	1	13	3	2	15	13	2	17	5	4	8	12	5	13	6	3	6	3	15	11	17	6	7	6	13	9	9	6	9	10	10	13	2	2	9	7	5	4	7	4	11	8	9	4	6	5	6	4	7	10	3	11	8	6	12	5	1	8	7	9	6	5	1	0	4	7	2	11	3	7	10	10	3	11	2	10	2	9	13	7	9	11	11	11	3	2	3	6	11	9	13	13	5	11	0	5	4	8	7	5	5	6	0	3	3	6	8	2	0	9	9	2	9	4	4	10	7	5	13	6	5	0	1	7	6	11	8	13	7	2	8	7	4	12	9	3	11	0	11	4	6	4	7	5	7	5	7	5	5	10	10	3	10	7	11	5	0	4	2	10	3	5	11	5	4	4	4	13	4	4	2	5	1	15	7	7	3	2	6	10	6	0	2	8	8	3	3	8	3	2	4	2	2	7	9	5	2	5	10	6	15	3	5	4	4	7	2	1	7	8	6	13	2	7	12	1	3	2	7	8	0	1	9	5	2	4	6	6	3	11	5	1
tmouse_   6	12	4	3	29	3	139	0	13	1	55	30	0	0	0	52	169	43	0	112	80	52	0	0	74	0	36	11	91	22	94	41	58	0	10	1	35	24	27	0	5	0	0	60	5	44	0	23	0	59	45	31	14	45	32	9	0	39	36	49	32	0	32	1	15	0	20	15	23	4	23	1	35	20	2	25	25	32	21	4	7	0	19	9	0	0	15	7	20	33	10	22	27	22	2	19	18	12	0	0	28	12	20	5	17	7	24	21	17	5	14	7	18	18	0	13	20	19	16	28	22	12	12	30	33	24	14	11	11	15	15	29	24	36	0	20	7	3	16	1	6	3	13	7	18	0	30	1	0	1	0	7	21	8	12	0	23	7	13	9	6	3	19	10	7	19	10	1	11	2	3	0	6	4	2	9	16	0	9	12	0	23	14	9	10	1	8	1	13	14	19	17	1	14	6	11	9	6	6	8	6	8	18	10	14	5	13	4	8	13	12	0	1	14	13	18	4	1	1	24	9	20	18	3	7	13	25	2	13	11	5	13	6	0	10	0	5	12	12	6	5	2	0	12	10	10	13	0	8	11	7	5	3	5	19	3	5	8	16	1	10	11	5	8	9	8	15	17	9	3	1	0	3	12	0	5	1	3	11	8	4	13	1	7	6	12	12	0	9	3	12	4	9	4	15	7	11	3	3	13	6	3	6	6	5	9	0	8	2	6	1	12	3	0	0	4	2	0	4	7	4	5	1	13	9	1	4	8	12	7	5	9	1	15	0	12	3	0	3	5	11	8	5	0	5	12	4	2	17	8	4	7	3	13	3	4	11	7	21	1	7	0	1	2	0	0	2	8	2	7	8	2	8	1	6	6	9	0	7	11	0	8	9	1	5	8	2	0	6	7	0	8	10	0	5	7	3	3	8	3	4	8	0	3	4	9	1	4	2	9	0	5	3	1	0	10	5	9	5	3	4	5	12	5	4	0	1	8	2	9	2	4	6	8	10	2	3	16	7	5	2	14	1	1	0	11	1	12	4	3	0	1	6	5	7	5	6	0	1	3	10	12	6	1	4	0	10	11	3	5	2	7	0	4	3	7	6	1	8	4	10	0	5	2	7	7	3	3	3	0	11	2	6	0	1	4	7	0	7	0	0
tmouse_   7	4	130	1	25	2	75	0	6	0	102	40	0	0	0	36	35	13	1	61	70	22	1	53	48	0	36	27	44	14	59	35	45	0	1	42	48	6	24	0	25	18	0	73	5	41	0	20	0	33	37	20	17	31	26	14	0	32	34	32	34	19	25	4	19	1	15	23	12	9	33	0	27	6	0	17	31	18	30	24	6	0	22	10	0	4	10	4	9	27	11	18	18	11	1	14	11	4	2	0	12	13	13	4	18	22	12	9	23	9	8	13	18	19	1	12	14	12	14	16	32	14	11	15	9	16	7	15	7	10	7	18	12	23	0	13	10	11	10	11	4	9	11	3	9	0	20	4	1	8	0	12	14	14	13	0	7	11	20	10	1	11	17	11	8	9	3	2	14	10	2	9	8	10	0	32	14	5	10	10	6	11	6	11	7	4	2	15	8	16	8	15	0	19	8	15	15	15	2	10	11	5	8	21	21	21	12	16	4	5	9	0	1	8	9	13	7	0	2	12	13	12	7	1	18	4	12	0	9	9	2	7	1	1	10	0	0	6	11	8	11	3	0	17	16	16	9	0	17	10	7	3	7	4	10	4	10	9	11	4	8	3	4	16	9	5	5	18	5	5	1	4	5	6	3	0	9	1	5	2	3	4	1	4	7	12	3	0	4	5	14	1	8	4	5	5	1	2	9	9	5	5	15	1	11	7	8	6	7	4	5	4	9	0	0	7	0	2	2	0	2	3	4	6	19	0	4	8	1	21	7	18	9	13	12	12	3	0	4	7	3	10	7	1	4	7	5	10	14	7	7	11	2	13	3	0	4	4	5	0	11	6	6	1	0	8	1	8	2	6	6	5	4	5	6	14	16	0	13	11	0	4	6	1	5	6	3	3	5	5	1	14	5	7	1	2	2	5	5	8	1	3	0	2	3	15	0	2	0	12	3	5	7	0	6	7	2	3	4	0	7	3	3	8	8	11	3	6	6	9	0	4	0	5	10	5	6	16	11	4	2	8	0	0	0	8	5	13	2	1	0	3	4	1	12	1	6	2	0	2	9	12	5	0	4	0	6	7	2	7	4	1	1	0	6	3	6	3	1	4	11	2	1	2	6	4	1	2	1	1	7	1	3	6	0	1	8	0	1	2	3
tmouse_   8	17	9	2	513	502	93	0	133	2	80	133	1	1	0	143	79	129	62	34	61	96	1	0	58	0	87	74	31	106	19	51	26	89	44	1	90	41	72	0	1	0	0	2	88	50	0	45	34	6	5	21	28	4	4	59	0	5	1	2	9	2	3	1	23	38	24	31	25	63	9	60	3	18	26	22	5	7	2	11	33	12	6	17	95	1	0	24	0	0	26	2	8	3	11	4	27	35	0	3	3	30	20	18	3	7	2	2	2	6	15	26	11	0	22	25	2	15	22	25	3	9	4	12	0	4	15	17	23	4	20	3	2	2	0	1	17	12	4	7	15	12	13	12	1	1	8	9	10	18	11	5	5	15	0	25	7	7	30	1	8	2	3	0	2	1	13	12	0	7	9	2	13	7	11	0	1	11	7	14	5	9	15	0	7	4	12	19	11	2	1	2	10	5	15	1	1	1	16	21	8	8	2	0	3	1	3	6	8	12	5	12	14	0	1	2	17	0	0	0	1	8	10	19	0	8	1	0	0	19	6	1	13	1	1	20	16	13	0	4	0	12	0	9	0	9	0	10	1	24	0	5	13	5	3	31	12	4	0	6	6	9	11	7	1	8	2	0	7	1	9	1	0	10	8	5	1	6	2	3	19	2	26	5	3	2	1	0	2	10	8	14	0	8	1	2	7	3	9	6	14	0	1	10	9	19	3	2	12	4	0	13	13	20	7	1	5	14	9	0	8	15	1	6	4	23	18	3	7	3	1	1	0	1	6	0	5	2	0	8	5	1	4	4	9	1	5	3	5	12	20	9	9	0	9	13	1	5	9	14	8	0	9	2	5	0	3	3	6	3	1	1	1	0	5	3	4	1	6	1	0	0	1	8	9	1	7	12	13	6	1	0	2	2	4	0	6	0	2	5	3	4	5	8	14	3	0	8	4	3	8	4	4	8	10	4	2	2	8	5	0	6	6	1	1	0	3	4	2	3	3	12	1	0	2	10	2	1	0	5	1	0	7	12	3	1	1	2	3	7	0	1	1	7	0	3	9	10	13	1	1	1	0	8	6	13	7	1	9	4	4	6	3	5	4	1	2	6	11	8	3	8	11	13	0	1	5	7	4	0	0	6	3	3	1	3	0	7	4	3	0
tmouse_   9	7	3	0	55	58	116	0	55	2	112	68	0	0	0	118	147	64	5	93	75	117	3	0	73	0	61	34	68	52	90	43	55	32	13	1	49	33	59	0	2	0	0	34	32	39	0	28	0	44	28	29	28	27	30	13	28	29	19	19	37	1	27	52	52	4	16	9	32	13	17	19	31	39	12	38	21	22	16	13	3	0	14	10	1	4	62	24	6	21	18	19	17	23	23	17	29	18	0	6	7	23	17	16	12	20	14	23	15	20	36	25	33	12	1	18	8	23	31	22	18	14	7	18	10	15	27	15	20	10	16	14	18	7	0	14	14	9	11	5	29	9	17	9	13	0	10	7	20	12	0	6	15	15	7	3	18	11	11	5	25	4	22	5	9	3	25	10	16	5	9	3	14	10	0	0	13	0	10	13	0	20	7	13	15	1	8	3	17	6	11	7	14	8	2	5	10	0	12	10	8	12	9	0	3	5	21	17	12	13	16	3	6	9	13	13	3	0	17	4	12	14	16	3	10	14	7	0	7	11	10	8	12	0	9	5	17	16	7	5	0	11	0	9	3	7	4	0	10	6	6	1	3	1	13	8	6	10	4	4	12	9	9	19	9	11	10	2	16	3	7	0	0	24	4	5	9	11	7	4	7	6	1	7	9	12	7	3	13	10	10	7	5	14	6	15	12	12	7	14	22	1	4	5	12	13	0	3	11	7	0	8	11	0	6	15	2	9	13	0	9	12	2	12	4	2	5	12	11	19	9	1	0	5	3	7	6	0	5	7	7	6	6	0	12	6	4	10	9	9	6	6	5	7	8	21	4	16	9	14	5	1	7	0	1	1	3	7	7	4	5	3	8	0	9	11	0	0	2	6	25	1	5	6	13	8	4	4	3	8	0	4	3	0	10	2	6	9	7	9	15	9	19	7	5	3	0	3	6	9	4	10	4	4	18	7	8	5	11	6	1	12	11	1	7	0	3	12	5	3	9	6	2	9	11	8	8	7	5	10	0	1	2	2	0	2	10	3	5	0	0	6	4	10	7	6	10	4	1	4	8	6	4	4	6	0	4	6	9	0	6	9	2	7	5	1	10	8	8	6	10	2	6	12	6	5	4	2	8	0	4	3	11	2	1	8	6	1	3	1	0
tmouse_  10	1043	125	153	297	333	100	0	119	130	77	160	38	51	0	103	53	65	66	50	56	108	135	0	50	0	61	75	35	74	32	31	43	35	39	17	42	59	50	0	14	34	0	0	58	38	0	35	11	7	14	21	42	12	8	27	0	12	4	10	28	11	12	0	29	10	28	24	25	11	17	10	16	30	2	24	20	15	6	5	26	12	8	36	0	16	2	27	11	5	16	7	4	7	9	15	10	37	19	11	3	11	13	20	7	18	6	15	6	18	22	21	9	7	1	9	11	12	24	16	10	15	6	15	2	9	8	19	7	10	6	6	6	3	0	9	20	3	7	9	14	24	12	12	4	0	5	9	12	15	10	5	5	7	3	7	13	12	15	6	12	8	2	1	5	11	5	7	2	17	10	9	17	16	12	1	2	6	10	21	18	10	11	4	10	8	11	11	9	10	6	4	18	9	16	3	6	3	13	8	6	14	8	2	0	6	7	10	17	16	9	12	10	8	6	7	9	10	14	3	9	6	3	7	7	12	2	4	7	12	15	5	12	6	1	8	7	14	5	5	2	5	1	12	1	7	2	2	1	9	4	4	10	2	4	4	1	5	2	10	10	11	14	12	10	5	9	0	9	2	10	8	3	12	11	12	8	9	3	11	16	1	9	8	4	2	2	21	10	15	8	5	3	8	11	4	3	4	10	5	10	3	6	7	5	10	0	0	6	9	5	9	4	10	6	14	11	4	8	4	19	19	3	8	9	0	12	5	13	6	3	2	1	5	9	0	11	6	10	7	5	3	1	12	13	1	13	4	2	9	8	4	13	9	0	5	7	5	3	6	4	2	12	1	1	2	8	3	6	11	3	4	3	2	7	7	3	15	8	2	9	1	4	2	4	1	5	10	6	7	10	5	2	1	6	5	5	7	1	9	7	2	7	5	13	3	0	5	8	1	0	5	3	1	2	4	2	4	8	4	6	3	4	2	5	0	2	5	5	2	8	5	6	4	2	10	6	1	5	4	1	0	4	9	1	2	3	1	3	6	0	7	0	4	1	13	3	6	3	3	1	1	7	6	2	3	5	2	6	3	8	1	3	4	5	1	1	5	9	5	1	5	8	0	1	3	6	1	11	0	1	1	10	5	2	2	4	4	2	2	1
