Zg16	Clca1	Muc2	Lypd8	Sprr2a2	Igkc	Plac8	Tff3	Mptx1	Fcgbp	mt-Co2	S100a6	Saa1	Actb	Muc3	mt-Co1	Dmbt1	Krt8	Spink1	Reg4	Igha	mt-Atp6	mt-Cytb	Muc13	Txn1	Krt20	Prdx6	Tspan1	mt-Nd1	Spink4	Jchain	Ly6a	Ceacam1	Sval1	Tpt1	Agr2	mt-Nd4	B2m	mt-Nd2	mt-Co3	Ptma	Lgals3	Car4	Actg1	Slc25a5	Ppia	Rps23	H2-Aa	Eef1a1	Ccl6	Rpl23	Tmsb4x	Rack1	Rpl27a	Guca2a	Reg3b	Rps24	Reg3g	Plet1	1810065E05Rik	Rps21	Scd2	Slc26a3	Ly6e	Atp1b1	Cox7c	mt-Nd3	Rplp0	Aqp8	Calr	Cox8a	Tgm3	Dstn	Calm1	Hsd11b2	Rps14	Rpl10a	Rpl41	Slpi	Crip1	Oit1	Aqp4	Hspa5	Mgat4c	Gm29123	Rps3a1	Rpl15	Itm2b	Lgals4	Ifit1bl1	Rps20	Rps7	Gm10053	Rpl30	Car1	Eif2s2	Rps27a	Cox6a1	Rpl39	Rps16	Cox5a	Rps3	Rpl18a	Rps9	Rpl17	Myl6	Gpa33	Tspan8	Gapdh	Rpl35a	Rpl7	Chchd2	Tm9sf2	Retnlb	Hsp90ab1	Cox4i1	Rpl31	Wdr24	Rpl13a	Slc26a2	Atp5g3	Gfpt1	Rps13	Actn4	Arf1	Tgoln1	Slc25a3	Rpl28	Rps29	Gm20594	Sectm1b	Mxd1	mt-Nd5	H2-Eb1	Ezr	Tmbim6	Cox6b1	Srsf1	Rps11	Atp5a1	Ces2c	Prdx1	Rpl37a	Atp1a1	Rpl5	Hmgb2	Uqcrb	Serinc3	Rpl37	Maoa	Cd9	Clca3b	Fos	Rpl12	Jun	Klf4	Clec2h	Smim14	Rfk	Tmem59	Rps26	Manf	Rpl4	Rps25	Eef1b2	Rps19	Sycn	Tubb5	Tmem86a	Gm8797	Cdh17	Cdkn1a	Ccnd2	Hk2	Pls1	Fth1	Upp1	Nfatc2	Cdh1	Ubc	Rpl6	2200002D01Rik	Krt19	Rps17	Rpl7a	Adh1	Fabp6	Rep15	Gzma	Gnas	Rps28	Ldha	Cldn7	Spint2	Hspa8	Hmgb1	Gng5	Dynll1	Rpl10	Id1	Rps18	Cs	Cox6c	Sec61b	Klk1	P4hb	Hint1	Mgst3	Snrpf	Txndc5	Gm17541	H3f3a	Rps8	Serf2	Tm9sf3	Clca4b	Tmed2	Pabpc1	Prr13	Xist	Cd63	Hdgf	H3f3b	Myl12b	Tagln2	Pdia6	S100a10	Rps4x	Gm11808	Rps6	Rpl14	Cystm1	Tm4sf20	Slc44a4	Slc10a7	Rplp1	Atp5g1	Vdac2	Ybx1	Cdhr5	Rpn1	Bcas1	Cd74	Gm9844	Pfn1	Set	Ceacam10	Rpl13	Rps15a	Hsp90b1	Gsdmc4	H2-Ab1	Aldh2	Atp5l	Tpd52	Calm2	Slc12a2	Ggh	Ckmt1	Chp1	Pigr	Ctnnd1	Iqgap2	Cd177	Serp1	Ahnak	Car2	Rnf31	Rpl19	Rpsa	Fut2	Duox2	Cmpk1	Ms4a8a	Spcs2	Dmxl1	Prss32	Clic1	Aco2	Pcbp2	Wbp5	Rpl22	Actr3	Anxa2	Ywhaz	Cox5b	Emp1	Cd24a	Rrbp1	Nov	Slc13a2	Gprc5a	Tmprss2	Tuba1b	Sri	Cd164	Btf3	Hmgcs1	Slc6a8	Tmed10	Ptp4a1	Cox7a2	Fxyd3	Mdh1	Myh14	Gpx2	Eef1g	Serpinb1a	Gcnt3	Pdlim1	2210407C18Rik	Mboat1	Ctsb	S100a11	Lars2	Sec61g	Galnt7	Atp5c1	Pkn2	Rps5	Cox7b	Dsg2	Dbi	Serpinb6a	Cd38	St6galnac6	Uqcrq	Arf4	Apol10a	S100a16	Lama4	Ndufa4	Atp5b	Lrrc58	Uqcr10	Pmp22	Rpl36a	Smpdl3a	Ywhab	Gmds	Gnb1	Ucp2	Rbm47	Atp5g2	Creb3l1	Qsox1	Zfp644	Ctnnb1	Hepacam2	Atp5j	Id3	Rac1	Ndufb8	Ywhae	Sqrdl	Mcl1	Klf6	Hnrnpab	Gsn	Glul	Sppl2a	Rps10	Rpl26	Ces2e	Arpc2	Dlk1	Sypl	Ostc	Npm1	Sec61a1	Rpl8	Gda	St3gal4	Hnrnpf	B3gnt7	Tapbp	Krt18	Atp5f1	Uqcrh	Ethe1	Golm1	Prdx5	Parm1	Pcbp1	Tkt	Ido1	Ybx3	Rpl38	Rnf128	Zfp36	Atp12a	Cyp4f14	Lurap1l	Hoxb13	Eif4g2	Hsp90aa1	Tram1	Capzb	S100a14	Nans	Ywhaq	Mrfap1	Arl1	Gna11	Serbp1	Lasp1	Atp5j2	Slc5a8	Shisa5	Gm4262	Atp6ap2	Rhoc	Hnrnpa2b1	Hnrnpa3	Slc6a14	Eif1	Aes	Ctss	Ahcyl2	Clcn2	Clic5	2010107E04Rik	Eef2	Ndufa6	Sult1b1	Eif5a	Pdia3	Suclg1	Scin	Ddost	Oaz1	Rab1a	Cldn3	Tax1bp1	Npc2	Stard10	Slc4a7	Deptor	Uba1	Ly6d	Arf6	Rpl32	Cdc42	Slc39a4	Rpl34	Gsto1	Ptms	Misp	Txnip	Nudt4	Gm1123	Ndufa2	Naca	Rplp2	Elf3	Slc35c1	Ier2	Srpk3	Msmo1	Higd1a	Cib1	Cycs	Rab2a	Usmg5	Uqcrc2	Chmp4b	Cpd	Hnf4a	Eif3c	Gabarap	Gbp2	Apobec1	Rpl3	Tmem45b	Pkm	Aph1a	Arpc3	Il13ra1	Suclg2	Ildr1	Gsr	Ddx5	Hist1h2bc	Tomm7	Rpl21	Rps12-ps3	Higd2a	Cttn	Ncl	Atp5o	Snhg8	Hgfac	Galnt12	Ceacam20	Mgat4b	Ccng2	Ubd	Arpc1b	Pla2g10	Tubb4b
9	2	3	237	179	2	136	1	1	0	113	86	0	180	102	105	30	143	3	0	0	63	67	50	93	63	58	55	90	2	0	69	19	2	82	2	53	98	89	36	6	56	1	113	67	52	44	34	32	0	43	52	30	13	9	26	24	19	29	26	41	36	21	26	44	38	12	16	0	41	38	0	68	38	2	25	19	22	0	1	5	47	45	52	28	21	17	25	17	10	26	14	40	31	68	22	23	17	22	18	48	14	11	21	15	18	16	32	19	14	20	39	19	0	17	21	28	19	15	14	48	27	25	25	51	32	41	14	17	4	3	14	23	11	16	22	16	15	23	29	2	17	22	23	8	1	25	3	20	24	9	17	18	13	6	19	24	8	15	5	12	11	15	17	20	22	1	0	3	19	14	19	18	9	13	16	15	11	17	12	9	9	24	10	27	1	0	0	0	11	9	26	13	11	16	2	19	17	3	28	8	19	20	17	0	13	22	10	5	0	9	20	11	11	9	2	4	5	16	4	9	3	18	17	10	3	22	15	19	8	12	19	11	5	14	17	19	35	18	1	6	1	8	15	15	2	3	20	20	12	7	14	12	22	6	21	1	19	5	6	16	19	8	5	12	17	15	13	18	11	5	2	22	10	2	8	16	25	17	16	1	9	17	23	17	15	1	0	4	0	11	8	6	2	25	6	10	5	14	15	16	13	4	17	6	2	13	12	1	9	0	17	17	12	2	10	2	19	0	6	8	11	12	18	7	6	18	8	15	16	0	14	23	7	7	2	6	1	25	16	13	14	5	7	0	1	0	14	1	15	1	13	9	7	8	19	16	6	7	16	6	8	8	4	19	0	2	2	1	10	7	5	15	12	1	6	6	12	10	11	10	7	7	6	12	1	4	2	4	4	0	5	11	7	17	3	3	17	8	3	7	6	17	10	1	17	7	14	9	16	3	3	4	9	8	8	8	8	18	3	4	5	5	8	8	6	13	15	0	5	10	6	8	8	12	3	6	3	8	10	18	5	9	2	6	12	4	4	8	3	0	5	5	10	1	12	2	0	3	7	21	10	3	11	11	9	5	13	13	12	0	4	8	11	14	8	9	3	5	13	8	12	1	9	5	6	7	10	3	9	1	0	3	0	5	7	0	11	5	5
4	1	3	379	245	0	305	0	2	0	127	157	126	270	203	125	59	114	1	0	0	59	52	91	102	117	63	92	65	2	0	59	58	2	59	0	40	72	44	59	2	84	88	30	91	16	5	45	9	3	6	55	7	3	67	0	7	0	26	24	3	1	43	18	49	47	15	9	12	17	31	30	55	76	6	13	2	9	0	46	8	20	11	42	15	3	5	40	39	44	3	4	34	3	56	53	4	26	7	1	41	0	7	4	5	26	23	16	29	1	5	29	14	0	0	24	5	1	4	14	23	14	4	43	19	24	20	6	6	6	20	27	13	12	33	29	24	27	9	22	6	6	6	15	3	0	32	2	4	17	9	1	23	2	16	33	11	9	23	14	4	7	1	4	1	0	0	0	0	21	20	29	0	22	11	5	13	0	21	10	2	18	19	6	5	2	0	1	0	14	2	12	20	17	3	2	14	6	0	18	0	25	17	13	0	5	18	19	0	0	4	18	2	19	3	4	14	5	27	3	13	5	11	24	20	0	18	1	13	1	0	16	10	8	7	7	12	23	8	17	2	0	22	11	8	8	2	2	1	6	8	7	9	7	4	14	0	12	10	23	15	15	20	2	6	20	6	0	1	1	6	5	6	9	0	1	11	13	23	9	1	1	11	9	9	17	23	0	24	0	14	10	10	0	19	5	7	5	20	8	8	15	0	11	6	0	2	8	6	9	2	12	21	0	0	0	0	18	1	0	11	15	6	14	14	6	10	1	8	2	1	5	15	26	6	17	1	7	7	5	24	8	12	8	0	0	0	17	0	6	14	12	15	5	18	10	13	3	8	4	13	2	2	7	9	0	0	2	1	2	1	7	12	3	7	8	7	10	7	10	1	6	7	4	0	0	3	2	7	21	8	8	15	2	5	1	1	10	6	2	0	4	6	13	1	17	14	5	14	1	1	7	0	1	6	8	12	12	10	7	8	10	0	4	14	2	4	4	5	1	5	7	8	7	3	3	1	2	12	13	4	2	6	8	3	1	0	5	11	17	0	4	1	4	10	6	6	0	5	6	4	12	5	6	8	7	2	10	0	4	2	11	0	6	9	9	7	2	9	11	2	4	5	5	1	1	9	9	0	4	0	1	2	16	5	5	0	7	2	12
18	5	10	327	405	0	175	4	4	2	93	124	43	213	93	57	80	159	2	1	0	59	46	53	124	110	104	93	52	1	0	45	34	1	51	3	33	94	35	39	0	95	27	98	58	14	9	26	28	0	6	94	9	9	48	0	17	0	14	55	12	16	24	9	41	37	23	24	80	2	26	2	30	59	4	17	6	12	0	18	13	5	5	33	4	3	7	25	37	34	20	6	35	2	66	28	3	23	19	13	33	2	14	4	7	32	15	26	33	1	7	49	7	0	2	25	7	3	16	16	45	12	6	28	14	19	24	6	14	10	17	32	18	13	14	25	25	19	5	20	20	11	10	11	1	1	28	6	7	27	18	2	14	1	8	22	18	1	16	17	2	1	4	5	3	12	13	0	6	11	18	23	0	8	21	24	10	5	13	28	6	18	21	3	13	1	0	0	0	8	12	14	17	14	11	1	16	8	9	7	4	23	10	6	0	6	20	29	0	0	7	12	2	24	2	0	1	5	24	1	15	3	16	17	27	0	19	1	8	0	4	21	9	24	19	8	17	27	8	25	3	0	20	4	8	1	1	2	2	2	11	4	7	20	6	16	0	7	5	16	7	10	14	0	2	5	16	3	6	6	5	9	16	9	0	4	12	14	19	4	0	2	20	15	10	10	30	0	9	0	7	7	3	0	20	4	8	3	10	2	19	10	0	16	9	0	4	15	3	6	0	12	9	8	5	5	2	10	2	1	10	12	14	16	8	12	10	5	18	12	0	8	15	29	6	8	3	6	12	8	7	6	7	3	0	0	0	12	0	10	10	8	13	5	5	9	9	4	6	7	11	3	5	6	13	0	0	0	1	2	1	6	8	7	3	11	5	16	8	10	2	10	4	3	13	0	1	2	9	1	0	5	10	5	2	0	1	12	6	3	1	3	12	18	4	6	12	8	5	5	0	14	6	2	9	7	8	2	20	5	4	11	5	9	11	1	5	7	0	1	5	7	16	9	3	2	5	6	4	8	11	1	13	10	2	10	0	5	7	8	1	7	1	7	6	6	3	0	7	9	5	6	4	7	12	7	7	7	2	9	0	2	1	5	12	11	7	1	4	19	4	13	3	5	1	3	11	6	0	4	1	0	0	5	1	8	0	6	7	5
10	1	54	297	255	0	118	2	1	2	174	124	85	88	120	112	141	80	5	90	0	82	105	100	51	39	54	88	107	44	0	76	19	5	57	46	69	66	46	55	8	45	36	71	35	29	20	47	22	27	17	30	19	20	45	0	28	0	36	9	15	32	11	15	28	23	35	23	8	14	36	26	30	27	17	25	15	22	5	30	22	34	9	11	37	15	12	44	22	12	11	11	25	21	1	12	9	16	28	20	18	19	18	14	6	19	23	13	14	11	11	20	10	0	15	21	14	12	12	31	14	20	11	18	30	23	21	11	13	7	9	10	24	10	15	27	24	17	25	32	6	15	15	34	10	0	9	5	16	12	19	13	5	8	8	15	5	9	10	14	9	10	9	14	10	9	1	3	4	24	20	5	11	5	12	19	2	8	16	19	5	12	25	11	17	7	0	1	0	15	19	18	17	26	16	4	9	14	9	3	7	11	13	8	7	12	21	9	2	5	14	12	4	13	6	12	14	7	11	4	12	7	13	14	15	6	12	6	15	5	5	6	7	11	6	10	7	13	7	13	5	3	17	12	9	1	4	10	13	9	15	13	18	13	4	6	2	13	13	7	19	10	2	1	5	5	9	4	3	6	17	13	10	12	5	9	15	11	16	6	2	3	9	17	15	13	1	4	6	0	5	6	8	1	6	3	6	9	4	6	5	11	8	9	7	2	7	11	3	10	2	10	13	5	3	2	6	10	0	4	4	8	7	9	7	7	9	5	3	11	0	3	4	9	11	5	2	13	6	12	10	6	7	11	4	5	0	13	3	10	2	8	9	7	5	11	13	2	8	2	11	3	6	4	10	0	0	6	2	3	9	4	12	9	6	11	5	9	11	4	13	3	5	4	7	0	1	7	11	5	7	3	10	8	8	1	7	6	5	11	5	7	7	4	3	9	6	11	13	3	4	2	4	4	7	9	5	7	9	15	4	5	5	10	4	4	5	4	0	3	6	10	8	7	11	13	2	4	11	0	2	3	7	2	8	8	2	12	4	2	1	7	2	10	5	6	4	0	6	2	10	5	10	11	10	3	5	5	2	2	4	5	1	3	6	6	2	4	7	3	0	5	1	15	1	2	2	7	1	6	4	2	4	7	1	0	7	8	9	8
1377	653	422	97	207	0	49	175	1	216	95	194	46	107	0	86	0	123	163	3	0	64	54	78	129	62	10	60	48	28	0	39	80	45	34	33	44	44	26	27	7	58	0	45	23	18	14	7	11	18	8	49	8	3	1	0	12	0	5	1	8	5	0	27	12	20	17	7	0	33	27	0	50	27	20	6	6	29	9	30	8	0	19	1	10	6	7	20	21	0	10	5	7	5	0	21	4	7	17	12	8	3	7	1	3	30	5	12	12	6	0	10	24	0	2	7	6	1	6	4	0	10	5	16	21	16	8	3	16	9	0	36	15	2	34	25	13	21	3	5	1	8	2	8	1	0	1	13	4	3	14	0	13	1	0	19	0	11	7	35	3	16	5	5	3	3	5	1	1	4	19	17	5	1	5	11	0	4	19	6	4	2	22	4	3	1	0	3	0	13	5	4	12	8	6	2	17	15	3	22	2	7	5	14	5	17	3	3	1	3	6	6	2	17	15	0	7	8	6	6	19	0	13	9	27	13	33	3	9	0	1	9	0	7	13	6	2	16	4	4	5	10	1	17	1	2	2	3	1	8	0	1	10	8	11	2	0	0	5	4	12	12	5	7	7	9	2	1	11	1	9	3	5	4	5	0	7	15	4	5	3	5	11	17	10	4	0	3	3	0	0	15	6	1	7	14	2	14	7	8	5	14	5	2	3	0	3	4	8	18	3	9	5	7	2	7	14	3	1	0	4	14	4	10	6	3	2	9	0	11	8	1	8	7	4	2	2	3	10	5	3	23	7	0	0	7	9	7	6	3	6	8	1	9	3	11	7	1	13	8	12	1	3	0	13	1	0	2	0	9	3	1	2	0	3	12	9	1	4	1	1	4	7	2	5	8	3	3	2	1	2	0	3	7	2	1	12	9	15	2	5	2	0	1	1	7	6	0	6	1	0	7	2	2	0	6	3	0	1	0	3	7	2	3	2	3	12	3	20	7	4	4	6	7	4	9	8	0	4	0	3	0	8	1	0	1	0	9	2	2	5	7	2	2	8	4	0	7	5	1	6	1	4	3	3	5	10	5	3	11	7	6	0	5	5	2	7	12	7	1	0	4	3	3	2	1	2	11	0	3	0	12	4	0	2	2	1	1	4	3
9	1	4	3	1	0	18	3	1	0	101	10	0	54	1	89	58	30	0	1	0	112	105	20	26	0	5	11	70	1	0	8	21	0	72	0	64	34	103	41	125	0	0	42	21	46	62	33	74	0	51	29	42	62	0	0	43	0	3	0	47	18	1	18	16	15	19	51	0	26	23	1	7	10	0	29	39	21	1	8	3	3	21	0	4	46	38	6	2	0	35	27	7	34	1	5	20	14	32	29	13	22	51	36	21	11	10	7	24	27	25	25	7	0	21	11	38	32	29	1	24	4	26	4	10	8	12	36	23	7	2	0	17	39	1	12	9	4	21	18	0	23	20	3	23	22	15	14	19	3	2	14	0	41	1	0	1	3	6	4	25	10	18	24	29	24	1	34	3	15	0	0	7	5	1	4	1	22	16	5	25	0	0	16	13	14	0	0	0	5	14	0	4	11	16	33	2	12	12	1	23	7	10	13	0	10	9	1	29	2	14	21	14	17	12	0	7	19	2	26	2	38	12	3	13	10	2	16	15	10	17	7	8	0	8	14	10	5	24	0	16	0	15	0	2	25	6	14	16	6	0	8	1	7	5	23	33	0	0	0	8	2	1	5	8	1	0	12	21	12	0	4	2	2	6	16	2	5	10	14	9	15	10	3	5	4	0	8	2	0	0	1	4	9	10	3	9	0	1	11	2	9	3	11	1	3	17	0	0	3	0	1	12	9	1	7	1	3	3	17	5	2	18	3	3	2	7	7	0	1	1	8	8	3	13	0	16	0	12	6	1	9	7	11	3	0	1	7	0	6	1	9	6	16	1	4	0	12	0	5	4	11	10	0	11	0	9	4	16	3	18	1	0	18	0	8	0	9	9	1	4	3	0	17	4	0	12	9	0	0	0	0	4	0	12	5	6	5	0	4	4	13	2	1	19	4	3	2	1	12	3	0	7	11	0	8	1	2	0	0	0	4	6	2	0	26	3	7	0	5	23	5	4	5	7	12	1	9	4	0	4	10	4	0	13	6	22	3	2	0	0	9	13	11	0	3	2	1	1	0	5	3	7	5	6	6	4	3	8	0	0	0	13	1	2	1	4	1	4	2	9	3	1	3	10	8	1	3	11	3	11	0	3	0	3	2	0	4	1	7
7	0	3	55	58	0	55	2	0	0	116	68	5	118	64	112	147	117	3	0	0	75	93	34	61	32	13	52	73	1	0	33	59	0	55	2	68	49	90	43	34	32	0	39	28	44	28	13	30	1	27	28	29	19	4	28	37	52	13	19	27	19	12	9	32	16	29	31	1	17	52	0	39	38	4	22	16	21	0	24	13	62	14	23	18	6	21	3	10	6	17	23	29	19	1	16	7	18	17	12	23	14	15	12	8	25	36	20	22	10	7	33	20	0	7	18	18	18	10	20	18	14	14	14	23	23	27	14	15	5	0	20	17	9	7	31	15	9	11	16	3	10	13	29	7	0	17	6	15	25	12	11	3	5	0	25	0	4	10	9	22	5	16	9	3	13	0	0	1	15	9	14	0	3	8	14	3	11	18	5	5	6	12	7	13	3	0	0	0	11	6	10	7	10	5	7	13	15	9	17	13	3	12	10	0	8	17	3	3	0	9	20	4	10	8	0	16	13	12	10	2	10	21	10	17	12	17	9	12	7	4	11	1	5	11	7	16	14	14	8	8	0	6	6	9	2	1	4	6	13	3	3	4	16	5	7	0	7	4	7	13	12	5	3	10	11	15	7	9	5	9	1	10	7	6	6	9	9	11	12	1	7	16	10	24	14	2	0	7	0	6	0	4	1	12	9	10	5	2	19	13	13	0	12	9	7	3	9	0	7	0	13	22	4	0	4	2	14	0	5	11	5	12	11	5	3	8	9	21	6	0	6	11	9	7	1	6	14	15	12	7	19	12	6	1	1	0	10	0	7	25	12	4	9	7	7	4	0	3	8	6	8	4	6	12	0	3	5	7	7	1	6	19	6	0	5	4	9	6	4	5	5	4	5	7	0	4	8	16	0	0	4	6	2	11	1	9	9	9	1	4	3	15	8	3	7	3	10	6	2	3	0	9	7	4	2	18	2	4	2	7	8	8	12	2	11	5	9	0	1	9	13	9	7	3	8	6	5	3	0	12	7	11	1	4	10	1	12	4	4	0	10	8	6	2	3	0	0	0	3	11	9	5	6	5	6	7	6	6	10	1	4	4	6	8	9	10	1	4	1	5	4	14	0	6	4	2	8	0	6	3	0	5	1	10	1	0	8	3	2
12	3	4	29	3	0	13	1	0	0	139	30	0	52	43	55	169	52	0	0	0	80	112	11	36	0	10	22	74	1	0	24	27	0	58	5	91	35	94	41	60	5	0	44	23	59	45	9	32	0	45	14	39	36	0	0	32	1	4	1	32	49	2	15	23	20	31	35	0	23	15	0	20	25	0	32	21	25	0	7	4	15	19	2	12	20	33	7	9	0	27	22	18	22	0	5	28	10	19	17	12	24	17	18	20	7	14	7	28	33	12	18	5	0	36	13	22	24	15	11	30	12	29	7	21	19	14	20	24	1	0	0	20	3	1	16	11	3	16	15	0	30	18	6	12	9	13	7	21	10	1	7	0	10	0	6	2	3	1	7	19	9	11	7	19	16	0	10	1	8	3	1	6	1	8	6	0	19	23	2	11	1	8	17	9	14	2	1	0	13	14	8	14	4	5	25	12	10	18	1	13	4	6	9	0	14	13	3	10	5	14	23	24	9	6	0	12	18	6	7	6	8	13	5	4	9	5	10	8	12	13	2	5	0	11	13	18	13	20	3	13	0	11	5	12	17	5	16	7	19	0	3	1	12	6	10	3	1	0	4	13	10	5	3	15	3	7	11	9	9	1	1	8	4	13	15	11	5	8	12	3	12	9	3	12	4	1	0	7	1	0	0	8	9	11	6	12	6	2	8	9	9	1	3	0	12	8	4	0	3	0	4	6	9	7	6	1	13	2	15	2	4	5	12	3	0	12	5	4	3	0	8	3	8	6	0	12	1	4	13	11	7	8	5	0	0	0	2	1	5	0	5	4	17	2	1	0	9	2	3	4	8	11	1	5	0	2	8	8	13	8	2	0	11	0	3	2	21	7	0	7	4	7	9	8	0	8	8	7	2	0	0	3	7	6	14	3	6	2	5	3	10	4	2	9	3	6	5	3	11	1	0	8	16	1	7	0	1	1	1	4	7	5	5	0	10	9	8	0	4	9	5	3	10	4	3	1	7	9	0	8	7	12	1	6	6	7	2	3	3	0	5	10	11	6	12	0	0	3	3	5	7	2	4	4	5	4	4	12	1	0	1	11	2	4	3	5	1	6	0	12	10	5	5	7	6	0	1	8	4	5	0	2	0	6	0	0	8	2	9
6	3	1	286	154	0	166	1	0	2	110	99	14	172	106	80	87	124	3	0	0	43	66	42	85	100	31	45	72	1	0	56	5	0	59	3	53	63	49	42	2	65	20	52	57	38	21	39	23	1	25	36	13	13	43	0	32	0	33	41	19	11	35	20	44	48	28	20	14	11	40	1	26	50	7	16	13	19	0	10	9	23	1	18	32	10	9	37	29	21	9	13	31	11	16	27	14	24	11	6	28	11	13	3	6	33	23	25	52	1	6	40	15	0	8	19	14	14	7	9	23	5	10	20	20	18	23	7	17	10	13	15	25	18	23	28	33	16	21	23	11	16	11	29	5	0	28	4	5	14	23	8	2	1	0	16	6	1	29	14	9	0	6	11	11	8	8	0	11	12	18	15	1	16	16	11	27	7	19	21	8	17	24	2	5	2	0	0	0	19	19	33	14	18	9	1	16	22	9	0	9	13	14	7	0	5	17	20	2	0	6	18	7	14	6	0	3	4	9	1	21	0	10	28	11	5	6	2	18	4	2	13	2	21	13	4	17	24	11	8	2	1	7	12	11	1	0	1	3	1	0	15	9	15	7	7	0	11	9	10	7	24	11	1	3	13	4	4	12	3	3	3	7	11	3	6	10	6	16	3	0	3	16	16	16	19	5	0	11	0	13	13	8	1	19	1	5	8	9	7	12	8	0	19	8	0	3	11	1	13	3	9	13	2	11	7	2	17	2	4	15	8	16	26	6	10	16	7	10	7	0	5	9	14	7	9	5	12	13	12	12	15	6	3	1	0	0	12	0	8	1	9	10	7	13	11	5	1	4	15	12	6	3	4	11	0	3	1	1	2	3	6	4	7	1	16	0	11	5	12	5	16	5	4	11	1	1	6	5	0	0	24	5	10	6	1	1	12	7	0	2	10	7	5	1	7	14	4	6	1	2	7	2	2	5	6	9	3	7	6	1	8	6	21	4	3	3	2	1	5	6	5	6	3	10	6	4	6	9	0	11	4	7	7	2	10	4	12	6	8	0	3	2	8	7	5	0	0	2	12	10	10	9	13	10	3	4	10	2	11	1	5	1	9	20	12	7	1	9	9	1	3	10	8	7	4	13	7	0	6	4	0	3	5	2	1	0	1	7	7
8	4	4	19	5	0	11	1	1	0	108	28	1	36	1	87	133	26	0	1	0	92	124	24	26	0	3	11	69	0	0	7	18	1	83	2	69	32	71	63	82	4	1	28	26	74	74	23	64	0	56	19	48	56	0	26	67	43	10	2	61	13	1	13	14	18	26	49	0	18	13	0	7	3	2	38	50	22	0	6	6	9	5	1	2	48	59	11	9	0	59	35	12	49	0	5	31	23	39	38	10	44	40	41	31	6	10	16	10	51	39	30	3	0	40	15	17	33	42	3	33	3	24	5	7	1	10	35	31	6	0	1	27	22	5	8	11	8	29	20	0	26	32	10	32	16	6	10	31	2	3	17	0	23	0	1	0	1	4	12	30	7	28	21	17	28	10	31	16	38	5	1	1	2	2	14	1	19	5	11	28	1	7	32	17	21	0	0	0	15	26	10	18	7	23	21	6	10	23	2	21	5	13	7	0	10	12	3	7	4	28	19	14	14	10	0	5	12	1	4	9	21	27	8	5	8	4	20	20	25	29	4	8	1	1	15	17	9	24	0	11	0	16	7	4	19	12	27	17	9	1	8	0	12	5	15	17	0	1	2	14	5	1	6	8	0	11	12	17	22	2	4	1	1	7	14	8	6	9	14	8	12	4	2	6	13	0	2	5	0	0	1	1	32	6	4	8	1	0	8	3	4	2	11	1	16	14	3	1	9	2	0	4	6	9	5	3	16	1	19	15	2	11	9	4	1	12	4	2	3	0	6	10	1	14	0	13	4	5	6	5	7	5	14	1	1	0	6	0	9	0	4	12	6	1	2	1	21	0	4	3	9	17	0	6	0	2	1	13	6	14	0	0	16	0	0	0	9	11	3	8	0	4	7	8	0	10	9	1	0	1	0	1	1	12	22	4	8	0	4	7	11	3	1	14	1	6	3	1	5	2	1	11	12	0	12	3	2	2	0	0	8	9	2	3	3	2	10	0	5	9	1	1	2	7	2	1	4	5	0	5	6	3	3	16	6	7	4	1	0	0	11	13	14	4	1	2	2	0	3	4	4	5	4	9	4	1	1	12	7	0	1	11	3	0	4	4	0	4	3	5	9	0	8	9	20	0	2	6	5	9	0	2	0	0	0	1	8	1	7
