	Zg16	Muc2	Clca1	Lypd8	Sprr2a2	Igkc	mt-Co2	Plac8	Tff3	Mptx1	mt-Co1	S100a6	Fcgbp	Dmbt1	Actb	Muc3	Saa1	Krt8	mt-Cytb	mt-Atp6	Spink1	Reg4	Igha	mt-Nd1	Txn1	Muc13	Tspan1	mt-Nd4	Krt20	Tpt1	Prdx6	mt-Nd2	mt-Co3	Spink4	B2m	Ly6a	Ceacam1	Jchain	Agr2	Sval1	Ptma	Lgals3	Actg1	Slc25a5	Car4	Ppia	Rps23	Rpl23	Tmsb4x	Eef1a1	H2-Aa	Reg3b	mt-Nd3	Rack1	Rpl27a	Scd2	Ccl6	Rps24	Rps21	Reg3g	Guca2a	Cox8a	Cox7c	Ly6e	Atp1b1	Plet1	1810065E05Rik	Calr	Rplp0	Slc26a3	Dstn	Calm1	Rps14	Rpl41	Rpl10a	Tgm3	Oit1	Aqp8	Hspa5	Itm2b	Lgals4	Aqp4	Hsd11b2	Crip1	Rps3a1	Rpl15	Cox6a1	Rpl30	Mgat4c	Rps20	Rps7	Slpi	Gm10053	Gm29123	Rpl39	Ifit1bl1	Rps27a	Cox5a	Eif2s2	Rps16	Rps3	Tspan8	Rpl18a	Arf1	Car1	Gpa33	Rps9	Tm9sf2	Myl6	Chchd2	Cox4i1	Rpl17	mt-Nd5	Tgoln1	Gapdh	Tmbim6	Rpl31	Rpl7	Gfpt1	Atp5g3	Rpl35a	Rps29	Slc25a3	Slc26a2	Rpl13a	Gzma	Cox6b1	Rps13	Wdr24	Hsp90ab1	Atp5a1	Rpl28	Actn4	H2-Eb1	Gm20594	Rps11	Atp1a1	Srsf1	Retnlb	Uqcrb	Rpl37a	Prdx1	Tmem59	Ezr	Mxd1	Sectm1b	Cd9	Serinc3	Rpl37	Rpl5	Ces2c	Gm8797	Clca3b	Cdh1	Manf	Klf4	Gnas	Rpl12	Smim14	Rps26	Rps25	Maoa	Eef1b2	Rfk	Rpl4	Fos	Cdh17	Hmgb2	Ubc	Clec2h	Fth1	Jun	Rps19	Spint2	Sycn	Serf2	Tmem86a	Gng5	H3f3a	Cldn7	Rpl7a	Dynll1	Pls1	Hk2	Nfatc2	Rps28	Cdkn1a	Hint1	Rps17	Ccnd2	Rpl6	P4hb	Krt19	Sec61b	Cox6c	Cd63	Tubb5	Ldha	Tm9sf3	Adh1	Rpl10	Hspa8	H3f3b	Upp1	Tagln2	Pigr	Gm11808	Tmed2	2200002D01Rik	Gm17541	Rps18	Cs	Rep15	Pabpc1	Id1	Rps8	Pdia6	Hmgb1	Ccl5	Fabp6	Mgst3	Atp5g1	Ybx1	Vdac2	Xist	Klk1	Rplp1	Prr13	Slc10a7	Myl12b	Rpn1	Rps4x	Slc44a4	S100a10	Txndc5	Rps6	Atp5l	Snrpf	Clca4b	Cystm1	Tpd52	Pfn1	Rpl14	Hdgf	Calm2	Cd74	Tm4sf20	Rps15a	Ceacam10	Cdhr5	H2-Ab1	Hsp90b1	Gm9844	Rpl13	Cmpk1	Aldh2	Ctnnd1	Prss32	Clic1	Rpl19	Aco2	Tmed10	Set	Serp1	Ggh	Slc12a2	Bcas1	Cd177	Ckmt1	Iqgap2	Actr3	Ahnak	Fut2	Rnf31	Ywhaz	Tmprss2	Duox2	Ms4a8a	Spcs2	Gsdmc4	Rrbp1	Chp1	Rpl22	Pcbp2	Rpsa	Btf3	Cd164	Anxa2	Cox7a2	Cox5b	Dmxl1	Car2	Sri	Mdh1	Pdlim1	Atp5c1	Wbp5	Ctsb	Hmgcs1	Cd24a	Sec61g	Ptp4a1	Dbi	Eef1g	Cox7b	Fxyd3	Gprc5a	Slc13a2	Uqcr10	Uqcrq	Slc6a8	Atp5b	Ywhab	Myh14	Mboat1	Emp1	Serpinb1a	Galnt7	Lars2	S100a11	Rac1	Gmds	Nov	Tuba1b	Dsg2	Serpinb6a	Arf4	Ucp2	Rbm47	Rps5	St6galnac6	Gpx2	Gcnt3	S100a16	Cd38	Gnb1	Ndufa4	Atp5j	2210407C18Rik	Atp5g2	Rpl36a	Ndufb8	Ctnnb1	Arpc2	Ywhae	Lrrc58	Sppl2a	Uqcrh	Tapbp	Apol10a	Sec61a1	Glul	Rpl26	Pkn2	Smpdl3a	Atp5f1	Qsox1	Mcl1	Golm1	Rnf128	Pmp22	Creb3l1	Gsn	Sqrdl	Tkt	Ostc	Sypl	Rps10	Hepacam2	Parm1	Lama4	Hnrnpab	Id3	Eif4g2	Rpl8	Hnrnpf	Capzb	Ces2e	Pcbp1	Eif1	Krt18	Klf6	Zfp644	Rpl38	Rab1a	Atp5j2	Slc5a8	Ybx3	B3gnt7	2010107E04Rik	Mrfap1	Npm1	Hoxb13	St3gal4	Tram1	Shisa5	Prdx5	Suclg1	Lasp1	Gda	Arl1	Cldn3	Ethe1	Slc6a14	Uba1	Oaz1	Ywhaq	Npc2	Ndufa2	Aes	Tax1bp1	Dlk1	Eef2	Pdia3	Lurap1l	Nans	Ndufa6	Atp6ap2	Ddost	Serbp1	Cib1	Cdc42	Arf6	Cpd	S100a14	Hnrnpa2b1	Eif5a	Zfp36	Rab2a	Hsp90aa1	Stard10	Elf3	Gna11	Hnrnpa3	Atp12a	Clcn2	Deptor	Usmg5	Ido1	Ctss	Gm4262	Arpc3	Slc35c1	Uqcrc2	Gabarap	Msmo1	Slc4a7	Rpl34	Cyp4f14	Rpl32	Psap	Chmp4b	Gsto1	Slc39a4	Ahcyl2	Rhoc	Txnip	Naca	Rplp2	Eif3c	Suclg2	Hnf4a	Aph1a	Ddx5	Tmem45b	Sult1b1	Clic5	Tomm7	Cycs	Ptms	Mgat4b	Cttn	Atp5k	Atp5o	Higd2a	Arpc1b	Arpc5	Misp	Nudt4	Rpl21	Fuca1	Scin	Rpl3	Lima1	Lamp1	Pla2g10	Capns1	Pkm	Efhd2	Ildr1	Psma3	Gm1123	Il13ra1	Rps12-ps3	C1galt1	Higd1a	Galnt12	Hist1h2bc	Csnk1a1	Ubl5
0	1377	422	653	97	207	0	95	49	175	1	86	194	216	0	107	0	46	123	54	64	163	3	0	48	129	78	60	44	62	34	10	26	27	28	44	39	80	0	33	45	7	58	45	23	0	18	14	8	49	11	7	0	17	8	3	5	18	12	8	0	1	27	20	27	12	5	1	33	7	0	50	27	6	29	6	0	8	0	19	20	21	0	20	30	6	7	7	5	1	10	5	9	7	10	17	0	4	8	21	12	3	12	7	21	0	5	1	24	30	10	7	3	15	16	12	25	6	0	10	0	6	16	8	4	6	0	13	5	1	2	5	3	16	2	9	3	8	21	0	1	2	8	35	34	36	0	14	13	4	1	1	4	0	19	16	19	13	1	11	3	5	3	3	7	5	13	19	0	6	0	11	0	3	8	5	17	1	17	6	12	3	15	5	1	4	5	17	3	4	5	4	17	22	14	5	19	1	4	15	1	3	6	13	0	27	12	9	7	2	6	2	7	3	8	22	2	13	2	0	0	3	2	4	16	6	5	6	6	13	9	5	3	7	33	3	0	8	1	0	9	11	1	1	0	2	1	0	1	2	4	1	8	17	3	5	10	12	7	15	11	4	8	2	7	0	0	10	7	5	5	11	9	9	1	10	6	3	4	5	0	3	4	5	5	1	2	14	17	14	4	0	2	7	2	18	3	3	5	14	3	7	5	4	3	4	5	15	0	4	2	7	8	10	3	9	0	4	14	2	7	8	5	0	1	14	10	9	23	7	0	3	0	8	11	6	3	1	3	3	0	2	1	7	13	9	7	12	4	12	0	9	8	3	1	3	1	7	11	1	2	2	0	13	3	5	2	0	1	6	7	8	1	6	2	3	0	9	0	2	6	9	7	9	3	4	6	0	3	3	7	2	0	7	2	12	6	4	3	7	1	0	6	1	0	4	4	5	4	7	3	7	1	2	12	3	2	3	0	7	1	6	8	3	10	15	2	3	1	4	1	9	8	1	2	2	0	0	3	8	0	1	7	4	3	11	5	8	0	0	0	6	5	1	1	1	7	2	2	2	3	7	5	2	4	5	2	3	3	1	0	2	11	3	3	2	1	5	9	2	2	4	20	0	3	10	4	7	5	4	1	1	5	12	1	5	1	4	3	3	7
1	9	3	2	237	179	2	113	136	1	1	105	86	0	30	180	102	0	143	67	63	3	0	0	90	93	50	55	53	63	82	58	89	36	2	98	69	19	0	2	2	6	56	113	67	1	52	44	43	52	32	34	26	12	30	13	36	0	24	41	19	9	38	38	26	44	29	26	41	16	21	68	38	25	22	19	0	5	0	45	25	17	47	2	1	21	17	17	31	52	26	14	0	40	28	22	10	23	48	22	18	14	32	11	51	68	16	21	19	18	39	21	15	23	32	19	22	28	20	27	48	14	17	41	14	15	0	16	25	19	17	29	14	25	11	4	23	23	15	0	25	22	17	5	16	14	3	9	3	20	8	2	19	17	17	11	19	11	13	8	12	17	24	20	15	15	18	14	1	12	24	16	6	22	11	1	11	3	19	20	13	27	17	13	9	11	9	19	22	10	18	9	13	24	17	20	9	0	26	9	1	3	16	18	15	10	16	19	4	9	9	8	19	0	5	28	11	3	2	0	0	10	19	18	35	4	0	17	16	14	17	6	15	5	22	0	8	22	5	2	19	6	15	12	3	21	8	11	20	3	1	14	12	15	20	22	12	19	16	25	18	17	15	2	12	19	1	1	5	5	8	17	17	5	13	17	6	2	10	2	7	4	6	9	16	11	10	6	23	13	15	8	15	25	17	9	19	1	17	5	0	10	16	12	13	8	4	8	11	7	18	14	23	25	6	17	1	12	2	2	12	13	16	0	2	11	18	8	14	5	6	6	2	1	16	7	13	14	15	0	7	6	9	14	19	7	7	6	10	6	15	10	16	8	0	1	12	1	19	10	4	2	0	7	8	12	2	2	8	1	7	0	6	1	17	7	12	17	4	6	8	6	16	0	2	6	7	14	4	1	5	6	1	7	15	3	9	7	15	17	5	17	8	11	8	8	10	7	12	5	8	8	0	5	13	11	3	8	3	5	1	21	9	18	5	8	4	6	4	3	3	3	1	10	9	0	3	3	11	1	8	16	9	12	11	12	3	6	6	5	5	11	9	12	2	18	3	8	5	10	13	5	13	8	12	11	8	4	9	10	4	5	10	10	9	7	11	18	4	3	5	8	0	8	9	8	5	5	14	6	13	13	0	3	6	4	7	3	1	11	4
2	18	10	5	327	405	0	93	175	4	4	57	124	2	80	213	93	43	159	46	59	2	1	0	52	124	53	93	33	110	51	104	35	39	1	94	45	34	0	3	1	0	95	98	58	27	14	9	6	94	28	26	0	23	9	9	16	0	17	12	0	48	26	37	9	41	14	55	2	24	24	30	59	17	12	6	2	13	80	5	25	37	5	4	18	3	7	23	2	33	20	6	0	35	4	19	34	3	33	28	13	2	26	14	14	66	15	4	7	32	49	25	7	18	19	33	25	7	7	12	45	1	14	24	16	16	0	25	6	3	2	20	6	28	13	10	5	11	19	0	28	10	11	17	14	32	17	18	6	7	1	20	11	2	13	1	22	8	1	1	2	5	27	3	16	4	14	18	1	28	18	24	8	12	14	13	24	6	16	12	17	13	8	21	8	5	12	23	20	3	0	6	6	21	6	10	15	0	14	2	1	9	11	16	10	27	7	8	1	18	7	4	23	0	5	7	2	0	1	0	0	29	17	8	27	1	0	8	24	19	17	3	1	24	19	0	0	20	0	0	21	6	8	4	3	16	20	9	2	1	25	4	2	4	2	16	7	10	12	14	6	19	2	1	2	7	0	0	0	5	14	20	5	5	3	10	3	9	9	0	11	9	16	2	4	6	8	4	15	10	10	4	16	20	16	6	10	0	9	3	0	5	19	14	4	10	0	7	7	6	10	10	15	12	9	12	30	15	2	5	8	8	8	0	0	12	16	5	6	7	1	12	0	3	12	8	7	8	10	0	3	3	13	12	13	5	29	11	8	11	18	2	7	5	2	6	16	0	9	2	9	8	0	6	5	13	0	0	3	0	4	0	4	10	2	1	7	12	6	3	7	5	9	0	2	7	12	8	1	3	11	3	1	5	8	1	5	10	7	6	6	12	16	10	9	4	5	1	3	7	8	9	0	5	5	10	3	9	0	1	4	5	13	11	7	6	6	1	1	4	0	2	6	18	2	0	5	6	7	0	2	5	7	6	12	9	7	5	2	5	1	6	7	10	10	20	14	7	1	7	2	4	7	11	13	5	11	4	5	6	0	1	6	13	4	11	6	4	5	8	1	4	0	1	8	4	7	1	12	6	19	4	1	1	3	3	9	0	3	1	7
3	9	4	1	3	1	0	101	18	3	1	89	10	0	58	54	1	0	30	105	112	0	1	0	70	26	20	11	64	0	72	5	103	41	1	34	8	21	0	0	0	125	0	42	21	0	46	62	51	29	74	33	0	19	42	62	18	0	43	47	0	0	23	15	18	16	3	0	26	51	1	7	10	29	21	39	1	3	0	21	6	2	3	0	8	46	38	14	34	0	35	27	1	7	4	32	0	20	13	5	29	22	7	51	10	1	10	36	7	11	25	11	21	17	8	24	12	38	25	4	24	27	23	12	1	29	0	9	26	32	21	18	36	4	39	7	21	3	4	0	15	20	23	4	1	0	2	2	14	19	23	0	15	14	16	10	0	5	41	3	25	24	3	29	6	18	0	0	22	5	1	4	1	24	11	1	17	3	2	21	4	13	12	1	5	22	14	0	9	16	7	25	10	0	13	10	2	34	0	12	14	12	16	12	1	13	8	15	7	0	14	23	7	0	19	1	14	10	33	0	0	1	10	24	5	26	0	14	2	8	3	16	16	0	2	2	10	7	29	0	7	5	2	17	38	23	15	8	16	6	0	8	6	0	14	2	1	2	2	5	21	10	11	25	8	0	33	0	5	0	1	10	1	0	12	5	4	4	2	6	0	2	0	15	14	12	9	3	3	9	4	16	0	10	11	3	3	9	12	0	8	7	2	18	17	5	3	1	0	13	7	1	8	12	1	1	0	0	1	1	9	9	6	0	9	2	3	7	9	7	17	2	3	0	1	3	1	8	6	0	11	16	6	7	11	16	3	4	9	8	0	3	5	10	3	0	9	0	4	4	0	0	3	0	1	4	4	9	11	0	0	1	12	1	12	18	18	5	0	17	8	0	0	1	9	5	3	2	12	0	4	13	16	0	0	6	1	3	7	4	1	2	4	1	0	4	23	4	7	9	1	5	0	6	3	4	4	2	3	5	19	5	4	4	4	0	7	26	0	7	5	12	0	1	11	0	0	9	5	0	2	12	4	3	6	0	1	1	13	0	10	3	6	6	0	0	0	2	13	11	8	4	3	1	3	1	0	0	3	3	22	3	3	4	3	1	4	5	3	0	10	4	0	13	6	4	1	2	2	6	2	5	0	1	8	1	0	3	1	5	11
4	10	54	1	297	255	0	174	118	2	1	112	124	2	141	88	120	85	80	105	82	5	90	0	107	51	100	88	69	39	57	54	46	55	44	66	76	19	0	46	5	8	45	71	35	36	29	20	17	30	22	47	0	35	19	20	32	27	28	15	0	45	36	23	15	28	36	9	14	23	11	30	27	25	22	15	26	22	8	9	44	22	34	17	30	15	12	16	21	11	11	11	5	25	37	28	12	9	18	12	20	19	13	18	30	1	23	14	10	19	20	21	6	24	23	14	27	14	11	20	14	11	13	21	31	12	0	24	11	12	15	32	11	18	10	7	25	34	17	0	9	15	15	14	15	10	9	19	5	16	10	6	24	13	16	10	15	15	8	9	9	14	12	10	10	9	5	20	0	19	5	19	8	9	26	1	13	4	9	12	17	17	14	12	5	8	19	5	21	11	11	5	12	25	8	13	12	3	18	6	7	9	16	13	2	15	19	15	14	12	14	7	11	1	7	3	4	6	4	0	0	9	7	7	13	4	7	10	11	6	14	5	6	11	12	5	5	13	2	12	6	4	9	5	7	6	17	7	13	4	13	13	9	12	10	10	18	10	15	11	3	16	6	1	5	13	2	3	1	13	2	9	5	17	4	15	8	13	12	5	15	6	7	3	6	6	6	3	17	11	13	9	9	6	9	10	10	2	13	9	4	2	5	7	7	4	8	6	5	11	9	4	4	6	7	10	1	11	6	3	5	8	12	0	1	8	9	5	6	7	4	7	2	3	11	7	10	3	10	2	11	2	9	13	10	7	9	11	11	11	3	3	2	6	0	13	9	5	11	13	11	5	4	8	5	7	6	0	3	3	5	0	2	2	8	9	9	6	4	4	9	5	13	0	7	10	6	11	1	6	5	7	2	8	12	7	13	3	4	9	4	7	8	4	7	11	6	5	11	7	5	7	0	5	5	10	11	10	4	3	3	10	7	2	5	5	4	4	5	10	1	13	5	4	4	7	15	4	11	0	7	3	2	6	10	2	6	2	8	3	3	8	3	8	2	9	2	4	2	10	2	7	5	6	5	3	4	4	15	5	2	1	7	7	6	2	8	13	12	2	1	7	0	1	8	7	9	2	6	5	3	6	1	4	2	5	2	4	1	11	7
5	12	4	3	29	3	0	139	13	1	0	55	30	0	169	52	43	0	52	112	80	0	0	0	74	36	11	22	91	0	58	10	94	41	1	35	24	27	0	5	0	60	5	44	23	0	59	45	45	14	32	9	0	31	39	36	49	0	32	32	1	0	15	20	15	23	4	1	23	35	2	20	25	32	25	21	0	4	0	19	7	9	15	0	7	20	33	10	22	2	27	22	0	18	12	19	0	28	12	5	17	24	7	17	21	0	14	18	5	7	18	13	20	20	19	28	16	22	12	12	30	33	24	14	11	15	0	11	29	24	36	15	20	7	3	1	16	6	3	0	13	18	30	7	1	0	0	1	7	21	12	0	8	7	23	9	6	13	10	3	19	7	10	19	1	11	0	3	9	2	2	6	0	16	4	0	9	1	12	23	14	9	10	8	1	19	14	1	13	17	6	11	14	8	9	6	6	10	8	6	14	18	5	13	0	4	13	8	12	1	14	13	4	1	18	1	24	9	25	0	2	3	18	20	13	7	0	13	6	11	5	13	10	0	5	5	12	12	10	0	2	6	12	13	8	10	11	5	7	5	3	3	19	5	16	8	1	10	11	5	9	8	8	17	15	1	3	0	3	0	5	9	3	1	11	12	8	1	4	13	0	7	4	12	12	9	12	6	3	9	4	15	7	11	3	3	13	3	6	6	0	6	9	5	8	2	1	0	0	6	12	2	3	4	0	4	1	4	1	7	9	5	13	1	9	4	12	5	7	8	15	0	12	0	3	3	11	8	5	0	5	12	4	2	5	17	8	4	7	3	4	13	3	11	2	1	21	0	1	7	7	0	0	2	2	8	8	2	8	1	7	0	9	0	6	8	11	6	1	9	7	2	0	0	8	5	6	5	8	0	7	10	8	7	0	3	3	4	8	3	2	4	3	0	1	9	9	3	4	5	0	10	0	5	9	3	5	5	1	4	9	5	12	8	4	2	8	10	2	2	14	3	6	2	16	0	1	7	4	0	1	11	5	12	4	1	3	1	6	0	7	5	5	6	1	1	0	3	10	11	12	6	4	3	10	2	0	4	5	7	7	6	1	3	4	0	8	10	2	3	7	5	0	11	3	3	2	0	4	6	0	7	0	1	6	0	3	2	5	7	8
6	4	130	1	25	2	0	75	6	0	0	102	40	0	35	36	13	1	22	61	70	1	53	0	48	36	27	14	44	0	45	1	59	35	42	48	6	24	0	25	18	73	5	41	20	0	33	37	31	17	26	14	0	20	32	34	32	19	34	25	4	1	19	15	23	12	9	0	33	27	0	6	17	18	31	30	0	24	0	22	6	10	10	4	4	9	27	11	18	1	18	11	2	11	4	14	0	12	13	4	18	12	22	23	9	1	8	19	9	13	18	12	14	13	12	16	14	32	11	14	15	9	16	7	7	10	0	15	18	12	23	7	13	10	11	11	10	4	9	0	11	9	20	3	4	1	0	8	12	14	13	0	14	11	7	10	1	20	11	11	17	8	3	9	2	14	9	2	32	10	0	8	5	14	10	6	10	4	10	11	6	11	7	2	15	8	16	0	8	15	15	15	19	5	15	2	8	21	10	11	21	8	21	12	0	16	5	4	9	1	8	9	7	0	13	2	12	13	12	0	0	1	7	12	4	18	1	9	1	9	2	7	10	0	0	11	11	6	16	0	3	8	17	9	17	16	10	4	7	3	4	7	10	10	11	9	4	8	3	4	9	5	16	18	5	1	5	4	5	3	0	5	1	9	5	6	2	1	3	4	0	4	1	3	12	8	14	7	5	4	4	5	5	1	2	9	9	5	5	1	8	15	7	11	6	7	5	0	0	4	4	0	9	7	2	2	0	2	4	0	19	3	6	9	18	4	1	7	21	8	13	12	12	0	3	4	3	10	7	1	7	7	5	10	4	14	7	7	11	2	0	13	3	4	1	0	5	6	6	11	4	0	8	1	2	8	6	5	4	5	6	0	16	0	14	4	11	6	1	6	13	3	3	1	6	5	5	1	14	7	5	5	5	2	0	5	2	3	3	2	0	1	8	3	0	15	12	7	2	5	6	7	11	2	3	0	8	3	3	7	9	4	3	6	8	0	5	10	2	6	8	6	0	5	16	0	0	11	4	0	0	8	4	13	2	5	1	3	4	2	12	1	1	6	0	0	0	2	9	7	12	5	4	2	6	4	1	0	7	1	3	6	3	6	4	2	1	11	2	1	6	1	1	7	1	2	1	6	1	3	0	8	3	0	8	2	2	3	0	1	9
7	17	9	2	513	502	0	93	133	2	1	80	133	1	79	143	129	62	96	34	61	1	0	0	58	87	74	106	31	89	26	44	19	51	1	90	41	72	0	1	0	2	88	50	45	34	6	5	4	28	4	59	0	21	5	1	2	2	9	3	1	38	23	24	31	25	63	60	9	3	26	18	22	7	5	2	12	11	95	6	33	17	0	1	24	0	0	26	2	11	8	3	0	27	35	4	3	3	30	18	3	2	7	2	2	22	15	0	6	26	11	25	2	20	15	25	22	3	4	9	12	0	4	15	23	4	0	17	3	2	2	20	1	17	12	7	4	15	12	1	13	1	8	12	9	10	11	18	5	5	0	25	15	7	7	1	8	30	0	2	3	2	13	1	12	0	2	9	0	7	11	13	11	1	7	5	7	4	14	9	15	0	7	12	19	1	2	10	11	2	1	1	5	8	1	16	15	0	21	8	3	2	1	3	12	6	12	8	5	14	0	1	17	0	2	0	0	1	1	0	0	19	10	8	8	0	1	0	13	19	6	1	1	20	16	0	0	13	0	10	12	4	9	0	1	9	24	5	0	5	31	13	3	12	0	4	6	6	9	11	1	8	7	0	2	9	0	1	1	8	5	7	6	1	2	10	3	26	19	2	0	5	14	1	2	0	8	3	10	2	8	1	2	7	3	9	6	0	14	10	3	1	19	9	2	12	0	20	7	4	13	5	13	1	14	9	23	8	1	0	4	15	6	0	1	18	7	1	3	3	1	6	0	2	5	0	5	1	8	4	4	1	5	3	9	5	12	20	9	9	13	0	9	1	2	14	9	0	9	8	5	5	0	3	6	3	1	1	1	0	3	1	4	0	3	0	1	5	8	1	6	7	12	1	1	9	13	4	0	2	6	2	2	0	5	0	6	14	4	8	4	3	5	8	8	3	3	4	8	4	10	4	0	2	2	5	1	6	3	0	3	8	6	4	1	3	0	2	1	2	0	2	1	10	1	3	7	0	12	0	12	1	5	2	3	1	7	1	1	10	0	7	3	9	13	8	13	1	1	1	1	0	6	9	7	4	3	5	4	6	1	2	6	4	8	8	11	3	13	5	0	11	0	0	4	7	6	3	3	3	7	0	0	1	0	3	6	4	4	4	2
8	7	3	0	55	58	0	116	55	2	0	112	68	0	147	118	64	5	117	93	75	3	0	0	73	61	34	52	68	32	55	13	90	43	1	49	33	59	0	2	0	34	32	39	28	0	44	28	27	28	30	13	28	29	29	19	19	1	37	27	52	4	52	16	9	32	13	19	17	31	12	39	38	22	21	16	0	13	1	14	3	10	62	4	24	6	21	18	19	23	17	23	0	29	18	17	6	7	23	16	12	14	20	15	23	1	36	12	20	25	33	18	8	17	23	22	31	18	7	14	18	10	15	27	20	10	0	15	14	18	7	16	14	14	9	5	11	29	9	0	17	13	10	9	7	20	0	12	6	15	7	3	15	11	18	5	25	11	5	4	22	9	25	3	10	16	3	9	0	5	0	14	0	13	10	0	10	1	13	20	7	13	15	8	3	11	6	14	17	7	0	5	8	12	10	12	2	0	10	8	3	9	5	21	3	17	13	12	16	6	9	13	3	0	13	17	4	12	7	0	0	3	16	14	14	10	0	7	12	11	10	8	9	5	17	0	7	16	3	0	11	5	9	4	10	7	6	1	6	1	8	3	13	6	4	10	4	12	9	9	9	11	19	2	10	7	0	0	3	4	5	16	11	9	7	24	4	1	7	6	3	7	7	7	12	5	10	9	10	13	14	6	15	12	12	7	14	1	22	5	0	4	13	12	3	11	0	0	6	7	8	2	11	15	9	13	2	9	2	0	4	12	12	0	1	5	11	9	19	12	5	3	7	0	6	5	7	6	7	0	6	6	4	10	12	9	9	6	6	5	21	7	8	4	0	14	9	1	7	5	16	1	1	3	7	7	5	3	8	0	4	0	0	25	11	1	6	9	6	5	2	4	4	0	8	13	3	10	4	0	8	3	7	2	19	9	6	5	9	7	6	15	9	4	4	3	9	4	3	10	18	7	0	8	5	6	1	12	3	1	3	11	11	12	7	9	9	11	0	5	1	8	2	8	7	0	2	5	6	0	2	2	10	3	5	10	0	6	4	4	7	10	6	10	1	4	0	4	8	6	6	4	6	9	4	6	2	7	0	9	1	10	8	5	6	2	8	10	12	4	6	6	0	4	8	2	3	2	8	11	1	6	0	1	4	1	3	5	14	3	4
9	1043	125	153	297	333	0	100	119	130	38	77	160	51	53	103	65	66	108	50	56	135	0	0	50	61	75	74	35	35	43	39	32	31	17	42	59	50	0	14	34	0	58	38	35	11	7	14	12	42	8	27	0	21	12	4	10	11	28	12	0	10	29	28	24	25	11	10	17	16	2	30	24	15	20	6	12	5	0	8	26	36	2	16	27	11	5	16	7	9	4	7	19	10	37	15	11	3	11	20	7	6	18	6	15	1	22	7	18	21	9	9	11	13	12	16	24	10	6	15	15	2	9	8	7	10	0	19	6	6	3	6	9	20	3	9	7	14	24	0	12	4	5	12	9	12	10	15	5	5	3	7	7	12	13	6	12	15	1	8	2	5	5	11	7	2	9	10	1	17	12	17	6	2	16	18	10	8	21	10	11	4	10	11	11	6	10	18	9	4	3	3	9	14	6	13	16	2	8	6	0	8	6	7	12	10	16	17	9	10	8	6	9	10	7	14	3	9	2	1	4	7	3	6	12	7	6	7	12	12	15	5	1	8	7	2	5	14	1	2	5	5	12	2	1	7	9	2	4	4	4	10	4	1	2	5	10	10	11	14	10	5	12	0	9	10	3	8	2	11	12	9	9	8	3	12	11	9	16	1	21	8	5	2	2	3	8	4	15	10	8	11	4	3	4	10	5	3	10	7	0	6	10	5	0	6	5	10	6	9	9	11	4	14	4	8	0	19	3	4	9	19	8	1	2	12	13	3	6	5	5	9	0	6	11	10	5	3	7	12	1	1	13	4	13	2	9	8	4	13	5	9	0	7	1	6	3	2	12	4	5	1	2	8	6	3	3	4	3	2	11	15	3	9	7	1	2	7	2	4	8	5	10	10	1	4	6	6	5	1	7	2	1	5	7	7	5	13	2	5	8	7	9	0	1	3	1	3	5	5	2	4	0	2	4	4	2	3	2	6	2	8	4	5	5	8	4	2	1	5	0	6	6	10	1	1	4	5	5	0	9	2	4	1	3	3	6	7	0	6	1	4	13	3	3	6	3	3	1	2	1	7	2	6	5	8	3	4	3	1	1	1	5	5	5	5	9	1	0	6	1	8	0	1	11	1	1	5	2	10	4	4	1	2	2	2	1	0	5	2	4
