dm1,dm2,statistic,p-value,n,method,permutations,alternative,Replicate,Closeness
0,1,0.43105438933802387,0.001,375,pearson,999,two-sided,r00,Close_0.00
0,2,0.5466295572892168,0.001,375,pearson,999,two-sided,r00,Close_0.00
1,2,0.5255668481652034,0.001,375,pearson,999,two-sided,r00,Close_0.00
0,1,0.43528728828589547,0.001,375,pearson,999,two-sided,r00,Close_0.25
0,2,0.4817023749811618,0.001,375,pearson,999,two-sided,r00,Close_0.25
1,2,0.5380788366681483,0.001,375,pearson,999,two-sided,r00,Close_0.25
0,1,0.4257606953063696,0.001,375,pearson,999,two-sided,r00,Close_0.50
0,2,0.5296779672998742,0.001,375,pearson,999,two-sided,r00,Close_0.50
1,2,0.5556306951198522,0.001,375,pearson,999,two-sided,r00,Close_0.50
0,1,0.364634101338444,0.001,375,pearson,999,two-sided,r00,Close_0.75
0,2,0.4113524667722231,0.001,375,pearson,999,two-sided,r00,Close_0.75
1,2,0.5303884059091765,0.001,375,pearson,999,two-sided,r00,Close_0.75
0,1,0.3293770742430422,0.001,375,pearson,999,two-sided,r00,Close_1.00
0,2,0.42640465558647295,0.001,375,pearson,999,two-sided,r00,Close_1.00
1,2,0.4824653204428396,0.001,375,pearson,999,two-sided,r00,Close_1.00
0,1,0.23515378318965127,0.001,375,pearson,999,two-sided,r00,Close_1.25
0,2,0.42757946822116755,0.001,375,pearson,999,two-sided,r00,Close_1.25
1,2,0.47153354864514235,0.001,375,pearson,999,two-sided,r00,Close_1.25
0,1,0.23562002378017424,0.001,375,pearson,999,two-sided,r00,Close_1.50
0,2,0.33176754425323624,0.001,375,pearson,999,two-sided,r00,Close_1.50
1,2,0.519663278205043,0.001,375,pearson,999,two-sided,r00,Close_1.50
0,1,0.27397392499611517,0.001,375,pearson,999,two-sided,r00,Close_1.75
0,2,0.29827012186033663,0.001,375,pearson,999,two-sided,r00,Close_1.75
1,2,0.4457365546379342,0.001,375,pearson,999,two-sided,r00,Close_1.75
0,1,0.43179727177298105,0.001,375,pearson,999,two-sided,r01,Close_0.00
0,2,0.5547744633423245,0.001,375,pearson,999,two-sided,r01,Close_0.00
1,2,0.539848836250285,0.001,375,pearson,999,two-sided,r01,Close_0.00
0,1,0.4381802068275228,0.001,375,pearson,999,two-sided,r01,Close_0.25
0,2,0.4835188300177293,0.001,375,pearson,999,two-sided,r01,Close_0.25
1,2,0.562119756937741,0.001,375,pearson,999,two-sided,r01,Close_0.25
0,1,0.423469751537409,0.001,375,pearson,999,two-sided,r01,Close_0.50
0,2,0.5215462231319535,0.001,375,pearson,999,two-sided,r01,Close_0.50
1,2,0.5683459069005012,0.001,375,pearson,999,two-sided,r01,Close_0.50
0,1,0.35894853780773683,0.001,375,pearson,999,two-sided,r01,Close_0.75
0,2,0.42692651595258596,0.001,375,pearson,999,two-sided,r01,Close_0.75
1,2,0.5114069496205922,0.001,375,pearson,999,two-sided,r01,Close_0.75
0,1,0.3303649172219983,0.001,375,pearson,999,two-sided,r01,Close_1.00
0,2,0.4461417813935264,0.001,375,pearson,999,two-sided,r01,Close_1.00
1,2,0.47747501657747865,0.001,375,pearson,999,two-sided,r01,Close_1.00
0,1,0.2387808657594511,0.001,375,pearson,999,two-sided,r01,Close_1.25
0,2,0.3960858328935867,0.001,375,pearson,999,two-sided,r01,Close_1.25
1,2,0.42135635212483896,0.001,375,pearson,999,two-sided,r01,Close_1.25
0,1,0.23854948967288514,0.001,375,pearson,999,two-sided,r01,Close_1.50
0,2,0.33229669397006023,0.001,375,pearson,999,two-sided,r01,Close_1.50
1,2,0.5103068492243842,0.001,375,pearson,999,two-sided,r01,Close_1.50
0,1,0.27186193786274393,0.001,375,pearson,999,two-sided,r01,Close_1.75
0,2,0.3072188690629629,0.001,375,pearson,999,two-sided,r01,Close_1.75
1,2,0.4478458330004601,0.001,375,pearson,999,two-sided,r01,Close_1.75
0,1,0.4295277199203355,0.001,375,pearson,999,two-sided,r02,Close_0.00
0,2,0.5440915164633584,0.001,375,pearson,999,two-sided,r02,Close_0.00
1,2,0.557762080303852,0.001,375,pearson,999,two-sided,r02,Close_0.00
0,1,0.43484659193404385,0.001,375,pearson,999,two-sided,r02,Close_0.25
0,2,0.4880385885727405,0.001,375,pearson,999,two-sided,r02,Close_0.25
1,2,0.5641911647411348,0.001,375,pearson,999,two-sided,r02,Close_0.25
0,1,0.4227233178621076,0.001,375,pearson,999,two-sided,r02,Close_0.50
0,2,0.4711043484903483,0.001,375,pearson,999,two-sided,r02,Close_0.50
1,2,0.5328350484859322,0.001,375,pearson,999,two-sided,r02,Close_0.50
0,1,0.36382429145683226,0.001,375,pearson,999,two-sided,r02,Close_0.75
0,2,0.3845734614194763,0.001,375,pearson,999,two-sided,r02,Close_0.75
1,2,0.5329959945681982,0.001,375,pearson,999,two-sided,r02,Close_0.75
0,1,0.33375841463133676,0.001,375,pearson,999,two-sided,r02,Close_1.00
0,2,0.43546766449816804,0.001,375,pearson,999,two-sided,r02,Close_1.00
1,2,0.48394689762508164,0.001,375,pearson,999,two-sided,r02,Close_1.00
0,1,0.2380982283895008,0.001,375,pearson,999,two-sided,r02,Close_1.25
0,2,0.339313417966345,0.001,375,pearson,999,two-sided,r02,Close_1.25
1,2,0.49236252374927447,0.001,375,pearson,999,two-sided,r02,Close_1.25
0,1,0.23552663500830553,0.001,375,pearson,999,two-sided,r02,Close_1.50
0,2,0.3580111526885954,0.001,375,pearson,999,two-sided,r02,Close_1.50
1,2,0.4509852496173896,0.001,375,pearson,999,two-sided,r02,Close_1.50
0,1,0.26990365099957114,0.001,375,pearson,999,two-sided,r02,Close_1.75
0,2,0.3107074775450476,0.001,375,pearson,999,two-sided,r02,Close_1.75
1,2,0.31165453788316877,0.001,375,pearson,999,two-sided,r02,Close_1.75
